method,family,method_type,regime,noise,future_idx,valid_rate,cat_rate,beats_rate,med_error,med_improve,stability,n_seeds
current_value,baseline,limit,single_exp,0.0,150,1.0,0.0,0.0,0.01863372770296965,1.0,1.0,30
linear,baseline,trajectory,single_exp,0.0,150,1.0,1.0,0.0,0.19290071460702501,0.0965975047885647,-1.0,30
log_linear,baseline,trajectory,single_exp,0.0,150,1.0,0.0,1.0,0.005961687869912276,3.1255792167535663,1.4,30
geom_avg_diff,baseline,limit,single_exp,0.0,150,1.0,0.0,1.0,4.3194614551822497e-16,1.0,1.4,30
richardson_1,richardson,trajectory,single_exp,0.0,150,1.0,0.0,0.0,0.02563782062455742,0.7268062280270877,1.0,30
richardson_2,richardson,trajectory,single_exp,0.0,150,1.0,0.0,0.0,0.019219218329109132,0.9695361894477932,1.0,30
richardson_3,richardson,trajectory,single_exp,0.0,150,1.0,0.0,1.0,0.01583748682463261,1.176558371242838,1.4,30
richardson_a05,richardson,trajectory,single_exp,0.0,150,1.0,0.0,0.0,0.05457586085614983,0.3414280125069237,1.0,30
richardson_a10,richardson,trajectory,single_exp,0.0,150,1.0,0.0,0.0,0.027723057993284277,0.6721382506750715,1.0,30
richardson_a20,richardson,trajectory,single_exp,0.0,150,1.0,0.0,1.0,0.00864698532230188,2.1549392081088024,1.4,30
single_exp_fit,parametric,trajectory,single_exp,0.0,150,1.0,0.0,1.0,4.874572967494828e-16,1.0,1.4,30
double_exp_fit,parametric,trajectory,single_exp,0.0,150,1.0,0.0,1.0,2.936010809473366e-12,6346614134.677519,1.4,30
rational_fit,parametric,trajectory,single_exp,0.0,150,1.0,0.0,0.0,0.026702863664007467,0.6978175800704803,1.0,30
log_fit,parametric,trajectory,single_exp,0.0,150,1.0,0.0,0.0,0.06726826708568676,0.27700620976654394,1.0,30
shanks_1,shanks,limit,single_exp,0.0,150,1.0,0.0,1.0,0.0018590641325030733,10.023176380623784,1.4,30
