target_g,tercile,tercile_range,regime_set,row,group,n_records,n_valid,med_error,win_rate_vs_last,win_rate_vs_assumed,med_skill_vs_last,mi
0.5,T1,"[0.005, 0.0232)",core,constant_assumed,trivial,519,519,0.071292,0.05395,0.0,1.210365,0.826197
0.5,T1,"[0.005, 0.0232)",core,last_value,trivial,519,519,0.065845,0.0,0.94605,1.0,1.0
0.5,T1,"[0.005, 0.0232)",core,window_mean,trivial,519,519,0.105866,0.200385,0.252408,1.701998,0.587545
0.5,T1,"[0.005, 0.0232)",core,window_min,trivial,519,519,0.04582,0.418112,0.905588,1.0,1.0
0.5,T1,"[0.005, 0.0232)",core,constant_oracle,oracle,519,519,0.065821,0.720617,1.0,0.993645,1.006395
0.5,T1,"[0.005, 0.0232)",core,log_linear,top10,519,491,0.012719,0.828516,0.842004,0.335471,2.980882
0.5,T1,"[0.005, 0.0232)",core,richardson_3,top10,519,508,0.020026,0.751445,0.836224,0.379466,2.635281
0.5,T1,"[0.005, 0.0232)",core,richardson_2,top10,519,519,0.015896,0.757225,0.828516,0.391356,2.55522
0.5,T1,"[0.005, 0.0232)",core,double_exp_fit,top10,519,492,0.012043,0.870906,0.947977,0.307895,3.247845
0.5,T1,"[0.005, 0.0232)",core,rational_fit,top10,519,519,0.019896,0.82659,0.872832,0.309633,3.166838
0.5,T1,"[0.005, 0.0232)",core,richardson_1,top10,519,519,0.024073,0.726397,0.803468,0.391174,2.556404
0.5,T1,"[0.005, 0.0232)",core,pade_23,top10,519,517,0.013111,0.697495,0.743738,0.512798,1.950087
0.5,T1,"[0.005, 0.0232)",core,pade_12,top10,519,518,0.013644,0.71869,0.768786,0.492906,1.879308
0.5,T1,"[0.005, 0.0232)",core,pade_22,top10,519,492,0.011199,0.684008,0.749518,0.322037,2.928707
0.5,T1,"[0.005, 0.0232)",core,single_exp_fit,top10,519,519,0.020258,0.928709,0.971098,0.469875,2.097236
0.5,T1,"[0.005, 0.0232)",core,anderson_1,classical_variant,519,519,0.065536,0.624277,0.919075,0.997874,1.002131
0.5,T1,"[0.005, 0.0232)",core,anderson_2,classical_variant,519,519,0.065437,0.585742,0.94605,0.995785,1.004233
0.5,T1,"[0.005, 0.0232)",core,anderson_3,classical_variant,519,519,0.06542,0.560694,0.938343,0.995775,1.004243
0.5,T1,"[0.005, 0.0232)",core,brezinski_theta1,classical_variant,519,519,0.039908,0.572254,0.894027,0.966941,1.03419
0.5,T1,"[0.005, 0.0232)",core,brezinski_theta2,classical_variant,519,511,0.051085,0.323699,0.666667,1.070392,0.934237
0.5,T1,"[0.005, 0.0232)",core,levin_t1,classical_variant,519,512,0.038652,0.624277,0.917148,0.995272,1.00475
0.5,T1,"[0.005, 0.0232)",core,levin_t2,classical_variant,519,512,0.049101,0.473988,0.876686,1.005659,0.994373
0.5,T1,"[0.005, 0.0232)",core,levin_u1,classical_variant,519,512,0.063472,0.423892,0.801541,1.023788,0.976765
0.5,T1,"[0.005, 0.0232)",core,levin_u2,classical_variant,519,512,0.065826,0.39499,0.843931,1.017265,0.983028
0.5,T1,"[0.005, 0.0232)",core,levin_v1,classical_variant,519,512,0.066207,0.265896,0.82659,1.032255,0.968753
0.5,T1,"[0.005, 0.0232)",core,levin_v2,classical_variant,519,511,0.064409,0.43738,0.884393,1.014968,0.985253
0.5,T1,"[0.005, 0.0232)",core,shanks_1,classical_variant,519,519,0.038652,0.624277,0.917148,0.995767,1.004251
0.5,T1,"[0.005, 0.0232)",core,shanks_2,classical_variant,519,519,0.046979,0.323699,0.83237,1.034878,0.966297
0.5,T1,"[0.005, 0.0232)",core,shanks_3,classical_variant,519,519,0.049039,0.385356,0.890173,1.019966,0.980425
