regime,is_holdout,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,med_valid_rate,n
log_slow,0,0.1,current_value,50000.0,0.41863546463489004,0.10267907838647497,1.014328072020298,1.0,3
log_slow,0,0.1,linear,50000.0,0.41863546463489004,,,0.0,3
log_slow,0,0.1,log_linear,50000.0,0.41863546463489004,0.05659322237777939,0.5560659789024358,1.0,3
log_slow,0,0.1,geom_avg_diff,50000.0,0.41863546463489004,0.10300565106738227,1.03273606626962,0.5667,3
log_slow,0,0.1,richardson_1,50000.0,0.41863546463489004,0.021472303194776797,0.21105774642629954,1.0,3
log_slow,0,0.1,richardson_2,50000.0,0.41863546463489004,0.05108021081779722,0.5131162043438766,1.0,3
log_slow,0,0.1,richardson_3,50000.0,0.41863546463489004,0.052533914893695514,0.5154073811818827,1.0,3
log_slow,0,0.1,richardson_a05,50000.0,0.41863546463489004,0.03371087690713237,0.3373202637751299,1.0,3
log_slow,0,0.1,richardson_a10,50000.0,0.41863546463489004,0.0774620337036061,0.7636287867845895,1.0,3
log_slow,0,0.1,richardson_a20,50000.0,0.41863546463489004,0.10072966755234847,0.9921191086999983,1.0,3
log_slow,0,0.1,single_exp_fit,50000.0,0.41863546463489004,0.0898023553715421,0.8930810633821651,1.0,3
log_slow,0,0.1,double_exp_fit,50000.0,0.41863546463489004,0.08369756168069245,0.8890900477844322,1.0,3
log_slow,0,0.1,rational_fit,50000.0,0.41863546463489004,0.05848204038264623,0.5924237627738402,1.0,3
log_slow,0,0.1,log_fit,50000.0,0.41863546463489004,0.0007975496190193512,0.007924113397183085,1.0,3
log_slow,0,0.1,shanks_1,50000.0,0.41863546463489004,0.10113765673338954,1.01722961352184,1.0,3
log_slow,0,0.1,shanks_2,50000.0,0.41863546463489004,0.10368828532016802,1.035590550690085,1.0,3
log_slow,0,0.1,shanks_3,50000.0,0.41863546463489004,0.10345456817039403,1.0335763422905861,1.0,3
log_slow,0,0.1,shanks_4,50000.0,0.41863546463489004,0.10302088966075137,1.036282373577978,1.0,3
log_slow,0,0.1,wynn_eps_1,50000.0,0.41863546463489004,0.10113765673338648,1.0172296135218033,1.0,3
log_slow,0,0.1,wynn_eps_2,50000.0,0.41863546463489004,0.103478220511825,1.021991791285166,1.0,3
