method,family,method_type,is_trivial,is_oracle,regime_set,target_g,valid_rate,cat_rate,beats_rate,med_error,med_improve,med_skill,stability,n_regimes,n_cells,n_capped_excluded,rank,rank_eligible
constant_oracle,trivial,limit,1,1,core,0.02,1.0,0.0,1.0,0.0011144089285473257,49.022823442473054,0.031234596111918082,1.4,15,45,9,,0
richardson_2,richardson,trajectory,0,0,core,0.02,0.9919,0.0282,0.8467,0.021789948219484743,2.572255086628866,0.8826010603020513,1.2742,15,45,9,1.0,1
richardson_3,richardson,trajectory,0,0,core,0.02,0.9859,0.0452,0.8104,0.02275268979899627,2.3978781138983347,0.8599270865805011,1.2197,15,45,9,2.0,1
rational_fit,parametric,trajectory,0,0,core,0.02,1.0,0.0119,0.843,0.02282322854251303,3.6021312396076204,0.6049496167310957,1.3135,15,45,9,3.0,1
log_linear,baseline,trajectory,0,0,core,0.02,0.9785,0.0622,0.7615,0.025056909973970247,2.395519235414376,0.7177785586183422,1.1587,15,45,9,4.0,1
richardson_1,richardson,trajectory,0,0,core,0.02,1.0,0.0333,0.8511,0.026428951791240843,2.9063896429994522,0.8012965056478241,1.2738,15,45,9,5.0,1
pade_12,pade,trajectory,0,0,core,0.02,0.9985,0.0956,0.6622,0.02896211398087025,2.037880111800511,1.0413026985430154,1.0723,15,45,9,6.0,1
pade_23,pade,trajectory,0,0,core,0.02,0.9956,0.1059,0.6689,0.030798102488817033,2.038018988263063,0.9729669882873138,1.0513,15,45,9,7.0,1
pade_13,pade,trajectory,0,0,core,0.02,0.98,0.1652,0.5785,0.03117442474638868,1.564785092429009,1.0726641719364964,0.881,15,45,9,8.0,1
pade_22,pade,trajectory,0,0,core,0.02,0.9267,0.1719,0.603,0.03236842055161722,1.643554161455739,1.8926271005058954,0.8241,15,45,9,9.0,1
double_exp_fit,parametric,trajectory,0,0,core,0.02,0.9778,0.0318,0.8852,0.03273192569676377,1.9251302608764282,0.9316810606254273,1.2682,15,45,9,10.0,1
single_exp_fit,parametric,trajectory,0,0,core,0.02,1.0,0.0089,0.9563,0.03678891560865255,1.483605061528922,1.0261025909142372,1.3647,15,45,9,11.0,1
richardson_a05,richardson,trajectory,0,0,core,0.02,1.0,0.0141,0.7548,0.03742740444363829,2.8863578825834937,0.6901309632617588,1.2738,15,45,9,12.0,1
richardson_a10,richardson,trajectory,0,0,core,0.02,1.0,0.0074,0.897,0.03917558955056748,1.564745416703935,1.2764481252893123,1.344,15,45,9,13.0,1
wynn_eps_3,wynn_eps,limit,0,0,core,0.02,0.9541,0.06,0.4822,0.04555917512381878,0.9902063122755864,1.6058362833516133,1.027,15,45,9,14.0,1
