method,broken_power_law,damped_osc_pow,delayed_plateau,four_exp,heavy_noise_plat,inv_sqrt_log,log_oscillatory,log_slow,logistic_tail,mixed_pow_rat,multiphase,noisy_plateau,osc_exp,power_law,random_knots,rational_decay,real_boot_a,real_boot_b,single_exp,slow_osc_power,staircase,stretched_exp,three_exp,two_exp
anderson_1,1.2845,1.2845,1.2845,1.2845,0.9244,1.2845,1.1422,1.2845,1.2845,1.2845,1.2845,0.9955,1.1467,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.0,1.2845,1.2845,1.2845
anderson_2,1.2711,1.2622,1.2222,1.2578,1.0444,1.2711,1.1689,1.2667,1.2267,1.2622,1.2711,1.0489,1.1289,1.2711,1.28,1.2355,1.2711,1.2533,1.2622,1.2711,1.0,1.2444,1.2533,1.2355
anderson_3,1.2489,1.2622,1.1911,1.2355,1.04,1.2711,1.1778,1.2578,1.2,1.2311,1.2489,1.0623,1.1289,1.2711,1.2622,1.2222,1.2489,1.24,1.2356,1.2711,1.0,1.24,1.24,1.2089
best_shanks_wynn,1.2845,1.2845,1.2845,1.2845,0.9244,1.2845,1.1422,1.2845,1.2623,1.2845,1.2845,0.9955,1.1467,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.0,1.2845,1.2845,1.2845
brezinski_theta1,1.2845,1.2845,1.2845,1.2845,0.3778,1.28,1.1422,1.2845,1.2623,1.2845,1.2845,0.5867,1.1467,1.2845,1.2845,1.2845,1.2845,1.2845,1.28,1.2845,1.0,1.2845,1.2845,1.2845
brezinski_theta2,1.2,1.2133,1.1645,1.1911,-0.0333,1.1777,1.2489,1.2133,1.1044,1.1911,1.0667,0.2222,1.1022,1.2222,1.1778,1.16,1.2,1.1645,1.1401,1.0222,-0.0333,1.1867,1.1867,1.1489
constant_assumed,1.2533,1.0311,1.3733,1.2533,-0.3689,0.2489,1.3111,1.0399,1.2445,1.28,1.3067,-0.8222,0.7067,0.8444,0.88,1.2311,0.7378,1.2223,0.56,0.1733,1.3067,1.24,1.2533,1.1066
constant_oracle,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
current_value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
double_exp_fit,1.4,1.3822,0.3423,1.4,1.2267,1.3378,1.3111,1.3956,1.3867,1.3244,1.4,1.1334,1.2756,1.3556,1.3867,1.36,1.3911,1.3911,1.3911,1.3778,1.4,1.4,1.4,1.3956
geom_avg_diff,0.1578,0.0978,0.3823,0.0622,-1.0378,0.0178,-1.7578,0.1578,0.6845,0.0534,0.1623,-1.0889,0.2356,-0.0044,0.0067,0.2934,0.0666,0.1067,0.1644,0.1666,-2.0,0.1756,0.0623,0.3978
last_value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
levin_t1,1.2845,1.2845,1.2845,1.2845,0.9244,1.2845,1.1422,1.2845,1.2623,1.2845,1.2845,0.9955,1.1467,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,1.2845,0.0,1.2845,1.2845,1.2845
levin_t2,1.2311,1.2267,1.1556,1.2355,0.9644,1.1911,1.2267,1.2444,1.16,1.24,1.2311,1.0222,1.08,1.1822,1.1867,1.2133,1.2355,1.2311,1.18,1.2089,0.0,1.2311,1.2311,1.2044
levin_u1,1.2845,1.2845,0.48,1.1467,0.9467,1.2845,1.1422,1.2845,1.1467,1.1467,1.28,0.9911,1.1467,1.2845,1.28,1.2845,1.1467,1.1467,1.2845,1.2845,0.0,1.1511,0.48,1.1422
levin_u2,1.2311,1.2489,1.1778,1.2355,0.9644,1.1911,1.2267,1.2444,1.16,1.24,1.0978,1.0222,1.1022,1.1866,1.2267,1.2133,1.2355,1.2311,1.1911,1.1866,0.0,1.2311,1.0978,1.2044
levin_v1,1.2044,1.2178,1.1556,1.1733,0.8045,1.2444,1.24,1.2133,1.1511,1.1733,1.0622,0.9689,1.0933,1.2,1.2267,1.1644,1.2,1.1689,1.1466,1.2356,0.0,1.1689,1.04,1.1644
levin_v2,1.1956,1.2178,1.1511,1.0622,0.7711,1.2444,1.2445,1.2133,1.1511,1.1956,1.1956,0.9289,1.0978,1.2356,1.24,1.1644,1.1955,1.1733,1.2,1.2267,0.0,1.1689,1.1733,1.1511
linear,-1.0,-2.0,-2.0,-1.9,1.1466,-1.9889,-2.0,-2.0,1.0,-2.0,-2.0,0.7955,-1.0,-2.0,-1.9667,-2.0,-0.9555,-1.6667,-1.0,-2.0,-2.0,-1.8889,1.0,1.0
log_fit,1.4,1.4,1.2178,1.4,1.2266,1.3378,1.4,1.4,1.0,1.4,1.4,1.1467,1.08,1.3911,1.3644,1.4,1.16,1.1378,0.9378,1.2,1.0267,1.4,1.4,1.0889
log_linear,-1.4333,1.3022,1.4,1.4,0.2133,1.1867,1.4,1.3511,1.4,1.4,1.4,0.9934,1.3067,1.2578,1.2489,1.4,1.3378,1.4,1.2489,0.4177,1.4,1.4,1.4,1.4
median_ensemble,1.2222,1.3067,1.32,1.3155,1.1289,1.3244,1.3822,1.3067,1.2356,1.3155,1.2978,1.1911,1.1378,1.3111,1.32,1.3156,1.2445,1.3111,1.2533,1.32,1.0,1.3111,1.28,1.3067
neville_2,-0.4667,-0.4889,-0.44,-0.4556,-1.3445,-0.4889,-1.6111,-0.4667,-0.2623,-0.4667,-0.4667,-1.4333,-0.5511,-0.4889,-0.4889,-0.4667,-0.4556,-0.4667,-0.4222,-0.6111,-2.0,-0.4556,-0.4333,-0.4333
neville_3,-0.7555,-0.7333,-0.6333,-0.7,-1.4556,-0.7333,-1.8889,-0.7555,-0.4889,-0.7333,-0.7555,-1.4778,-1.5667,-0.7333,-0.7444,-0.7111,-0.5445,-0.6444,-0.4889,-1.5555,-2.0,-0.6778,-0.6667,-0.5556
