method,broken_power_law,damped_osc_pow,delayed_plateau,four_exp,heavy_noise_plat,log_oscillatory,log_slow,mixed_pow_rat,multiphase,noisy_plateau,osc_exp,power_law,rational_decay,single_exp,slow_osc_power,staircase,three_exp,two_exp
anderson_1,1.2845,1.2845,1.2845,1.2845,0.9022,1.1422,1.2845,1.2845,1.2845,0.9955,1.1467,1.2133,1.2845,1.2845,1.0267,1.1511,1.2845,1.2845
anderson_2,1.2711,1.2622,1.2222,1.2578,1.1111,1.1689,1.2667,1.2622,1.2711,1.0489,1.1289,1.2266,1.2355,1.2622,1.04,1.1511,1.2533,1.2355
anderson_3,1.2489,1.2622,1.1911,1.2355,1.0933,1.1778,1.2578,1.2311,1.2489,1.0623,1.1289,1.2266,1.2222,1.2356,1.0622,1.1467,1.24,1.2089
best_shanks_wynn,1.2845,1.2845,1.1511,1.2845,0.9022,1.1422,1.2845,1.2845,1.2845,0.9955,1.1467,1.2133,1.2845,1.2845,1.0267,1.1511,1.2845,1.2845
brezinski_theta1,1.2845,1.28,1.1511,1.2845,0.5156,1.1422,1.28,1.2845,1.2845,0.5867,1.1467,1.2311,1.2845,1.28,0.9822,0.1511,1.1511,1.2845
brezinski_theta2,1.0445,1.0311,1.0311,1.0356,0.1155,1.1622,1.0311,1.0356,1.0667,0.2222,1.1022,0.96,1.0267,1.1401,1.0177,0.1067,1.0533,1.1489
current_value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
double_exp_fit,1.36,1.3956,-1.1311,1.2867,1.3156,1.4,1.3956,1.2867,1.3956,1.1511,1.4,1.3556,1.4,1.4,-0.4222,1.1756,1.3623,1.3623
geom_avg_diff,0.1311,0.0444,0.3867,0.0867,-1.0489,-1.7578,0.1045,0.0822,0.1422,-1.0889,0.2356,-0.0533,0.3222,0.1644,-0.1156,-1.0556,0.0911,0.3978
levin_t1,1.2845,1.2845,1.1511,1.2845,0.8689,1.1422,1.2845,1.2845,1.2845,0.9955,1.1467,1.2133,1.2845,1.2845,1.0267,0.1511,1.2845,1.2845
levin_t2,1.0756,1.1955,1.0222,1.1022,0.9222,1.2267,1.0578,1.1067,1.0756,1.0222,1.0578,1.1378,1.2133,1.18,0.9778,0.1155,1.0978,1.2044
levin_u1,1.1511,1.1511,0.48,0.48,0.88,1.1422,1.1511,0.48,1.1467,0.9911,1.1467,1.08,1.1511,1.2845,1.0267,0.1467,0.48,1.1422
levin_u2,1.0756,1.0622,1.0444,1.1022,0.9222,1.2267,1.0622,1.1067,1.0756,1.0177,1.1022,1.0045,1.08,1.1911,0.9778,0.12,0.4311,1.2044
levin_v1,1.0711,1.08,1.0222,1.04,0.9623,1.24,0.3867,1.0356,1.0622,0.9689,1.0933,1.0133,1.0311,1.1466,1.0355,0.1289,0.3733,1.1644
levin_v2,1.0622,1.0844,1.1511,0.3512,0.9978,1.2445,0.4133,1.0622,1.1956,0.9289,1.0978,1.0533,1.0311,1.2,1.04,0.1245,1.1733,1.1511
linear,-1.0,0.9555,1.0,1.0,1.0489,1.4,1.0,1.0,1.0,0.7378,-0.8,0.8222,1.0,-1.0,-1.0,1.2667,1.0,1.0
log_fit,1.36,1.0178,1.0,1.0044,1.32,1.4,1.4,1.0044,1.4,1.2222,1.0,0.9778,1.0,0.8667,0.9733,1.2711,1.0,1.0
