regime,n_obs,target_g,n_f,achieved_g,capped,gap_obs,gap_f,degenerate,seed
single_exp,90,0.5,108,0.4867522559599715,False,0.02049279183546942,0.009974912656832825,False,
single_exp,90,0.1,148,0.09827358560436156,False,0.02049279183546942,0.0020139001327153655,False,
single_exp,90,0.02,188,0.01984109474437028,False,0.02049279183546942,0.0004065994243842065,False,
two_exp,90,0.5,129,0.4955914190433955,False,0.09894969228157895,0.04903861841173503,False,
two_exp,90,0.1,218,0.09985826346226055,False,0.09894969228157895,0.00988094444136352,False,
two_exp,90,0.02,308,0.01976182043192707,False,0.09894969228157895,0.001955426050663003,False,
three_exp,90,0.5,176,0.49876789415554024,False,0.14715482205748262,0.07339610071244385,False,
three_exp,90,0.1,377,0.09988829507506856,False,0.14715482205748262,0.014699044287397031,False,
three_exp,90,0.02,579,0.01984699300615729,False,0.14715482205748262,0.0029205807241971782,False,
four_exp,90,0.5,231,0.4980680166164721,False,0.16063362159719208,0.08000646931083435,False,
four_exp,90,0.1,631,0.09977805552230239,False,0.16063362159719208,0.016027710414473144,False,
four_exp,90,0.02,1033,0.019984291029188302,False,0.16063362159719208,0.0032101490430707937,False,
power_law,90,0.5,244,0.4999340482202355,False,0.034022091822737334,0.017008802093861648,False,
power_law,90,0.1,2441,0.09997859122064488,False,0.034022091822737334,0.003401480810816701,False,
power_law,90,0.02,24329,0.01999997709892598,False,0.034022091822737334,0.0006804410573123036,False,
rational_decay,90,0.5,205,0.5,False,0.1739130434782609,0.08695652173913045,False,
rational_decay,90,0.1,1125,0.09999999999999999,False,0.1739130434782609,0.017391304347826087,False,
rational_decay,90,0.02,5725,0.019999999999999997,False,0.1739130434782609,0.0034782608695652175,False,
mixed_pow_rat,90,0.5,254,0.4990202976120709,False,0.14907425061173388,0.07439107690656388,False,
mixed_pow_rat,90,0.1,2260,0.09998848741275486,False,0.14907425061173388,0.014905708830857217,False,
mixed_pow_rat,90,0.02,27113,0.019999572893685206,False,0.14907425061173388,0.0029814213416808682,False,
multiphase,90,0.5,504,0.49983903719462197,False,0.1991086841720937,0.09952229299366738,False,
multiphase,90,0.1,3852,0.0999996544626016,False,0.1991086841720937,0.019910799617712645,False,
multiphase,90,0.02,20594,0.019999293769431138,False,0.1991086841720937,0.003982033066802586,False,
osc_exp,90,0.5,107,0.47832942079368884,False,0.0517034358273824,0.024731274512355482,False,
osc_exp,90,0.1,165,0.09570953042125925,False,0.0517034358273824,0.004948511564204481,False,
osc_exp,90,0.02,222,0.019723199886557016,False,0.0517034358273824,0.0010197571996452364,False,
damped_osc_pow,90,0.5,260,0.49940767513390516,False,0.05572092355970022,0.02782745689126393,False,
damped_osc_pow,90,0.1,3014,0.09999319502597674,False,0.05572092355970022,0.005571713176532647,False,
damped_osc_pow,90,0.02,39688,0.019999828742130073,False,0.05572092355970022,0.0011144089285473253,False,
