regime,future_idx,method,family,method_type,true_val,curr_val,estimate,error,valid,catastrophic,beats_current,improve_ratio
single_exp,150,current_value,baseline,limit,0.01185906,0.03049279,0.03049279,0.01863373,1,0,0,1.0
single_exp,150,linear,baseline,trajectory,0.01185906,0.03049279,-0.18104165,0.19290071,1,1,0,0.096598
single_exp,150,log_linear,baseline,trajectory,0.01185906,0.03049279,0.01782075,0.00596169,1,0,1,3.125579
single_exp,150,geom_avg_diff,baseline,limit,0.01185906,0.03049279,0.01185906,0.0,1,0,1,1.0
single_exp,150,richardson_1,richardson,trajectory,0.01185906,0.03049279,0.03749688,0.02563782,1,0,0,0.726806
single_exp,150,richardson_2,richardson,trajectory,0.01185906,0.03049279,0.03107828,0.01921922,1,0,0,0.969536
single_exp,150,richardson_3,richardson,trajectory,0.01185906,0.03049279,0.02769655,0.01583749,1,0,1,1.176558
single_exp,150,richardson_a05,richardson,trajectory,0.01185906,0.03049279,-0.0427168,0.05457586,1,0,0,0.341428
single_exp,150,richardson_a10,richardson,trajectory,0.01185906,0.03049279,-0.01586399,0.02772306,1,0,0,0.672138
single_exp,150,richardson_a20,richardson,trajectory,0.01185906,0.03049279,0.02050605,0.00864699,1,0,1,2.154939
single_exp,150,single_exp_fit,parametric,trajectory,0.01185906,0.03049279,0.01185906,0.0,1,0,1,1.0
single_exp,150,double_exp_fit,parametric,trajectory,0.01185906,0.03049279,0.01185906,0.0,1,0,1,1.0
single_exp,150,rational_fit,parametric,trajectory,0.01185906,0.03049279,0.03856193,0.02670286,1,0,0,0.697818
single_exp,150,log_fit,parametric,trajectory,0.01185906,0.03049279,0.07912733,0.06726827,1,0,0,0.277006
single_exp,150,shanks_1,shanks,limit,0.01185906,0.03049279,0.01,0.00185906,1,0,1,10.023176
single_exp,150,shanks_2,shanks,limit,0.01185906,0.03049279,0.00999953,0.00185954,1,0,1,10.020625
single_exp,150,shanks_3,shanks,limit,0.01185906,0.03049279,0.00999829,0.00186077,1,0,1,10.013985
single_exp,150,shanks_4,shanks,limit,0.01185906,0.03049279,0.00999992,0.00185914,1,0,1,10.022743
single_exp,150,wynn_eps_1,wynn_eps,limit,0.01185906,0.03049279,0.01,0.00185906,1,0,1,10.023176
single_exp,150,wynn_eps_2,wynn_eps,limit,0.01185906,0.03049279,,,0,1,0,
single_exp,150,wynn_eps_3,wynn_eps,limit,0.01185906,0.03049279,,,0,1,0,
single_exp,150,wynn_rho_1,wynn_rho,limit,0.01185906,0.03049279,-0.01132912,0.02318818,1,0,0,0.803587
single_exp,150,wynn_rho_2,wynn_rho,limit,0.01185906,0.03049279,0.03219958,0.02034051,1,0,0,0.916089
single_exp,150,wynn_rho_3,wynn_rho,limit,0.01185906,0.03049279,-0.01310599,0.02496506,1,0,0,0.746392
single_exp,150,pade_11,pade,trajectory,0.01185906,0.03049279,-0.0105179,0.02237697,1,0,0,0.832719
single_exp,150,pade_12,pade,trajectory,0.01185906,0.03049279,0.00613022,0.00572885,1,0,1,3.252614
single_exp,150,pade_13,pade,trajectory,0.01185906,0.03049279,0.00830866,0.0035504,1,0,1,5.248345
single_exp,150,pade_21,pade,trajectory,0.01185906,0.03049279,0.03289547,0.02103641,1,0,0,0.885785
single_exp,150,pade_22,pade,trajectory,0.01185906,0.03049279,0.01471948,0.00286041,1,0,1,6.514349
single_exp,150,pade_23,pade,trajectory,0.01185906,0.03049279,0.01221528,0.00035621,1,0,1,52.31084
single_exp,150,pade_31,pade,trajectory,0.01185906,0.03049279,-0.00315781,0.01501688,1,0,1,1.240852
single_exp,150,pade_32,pade,trajectory,0.01185906,0.03049279,0.01032415,0.00153492,1,0,1,12.139891
single_exp,150,levin_t1,levin,limit,0.01185906,0.03049279,0.01,0.00185906,1,0,1,10.023176
single_exp,150,levin_t2,levin,limit,0.01185906,0.03049279,0.01,0.00185906,1,0,1,10.023176
single_exp,150,levin_u1,levin,limit,0.01185906,0.03049279,0.00156602,0.01029304,1,0,1,1.810322
single_exp,150,levin_u2,levin,limit,0.01185906,0.03049279,0.01,0.00185906,1,0,1,10.023176
single_exp,150,levin_v1,levin,limit,0.01185906,0.03049279,0.01,0.00185906,1,0,1,10.023176
single_exp,150,levin_v2,levin,limit,0.01185906,0.03049279,0.01,0.00185906,1,0,1,10.023176
single_exp,150,weniger_d1,weniger,limit,0.01185906,0.03049279,-0.0,0.01185906,1,0,1,1.571265
single_exp,150,weniger_d2,weniger,limit,0.01185906,0.03049279,0.0,0.01185906,1,0,1,1.571265
single_exp,150,brezinski_theta1,brezinski,limit,0.01185906,0.03049279,0.00912954,0.00272952,1,0,1,6.826737
single_exp,150,brezinski_theta2,brezinski,limit,0.01185906,0.03049279,0.01003697,0.00182209,1,0,1,10.226566
single_exp,150,neville_2,neville,trajectory,0.01185906,0.03049279,0.01024516,0.0016139,1,0,1,11.545766
single_exp,150,neville_3,neville,trajectory,0.01185906,0.03049279,0.01254391,0.00068484,1,0,1,27.208786
single_exp,150,neville_4,neville,trajectory,0.01185906,0.03049279,0.01233311,0.00047405,1,0,1,39.307724
single_exp,150,anderson_1,anderson,limit,0.01185906,0.03049279,0.0283546,0.01649554,1,0,1,1.129622
single_exp,150,anderson_2,anderson,limit,0.01185906,0.03049279,0.02649068,0.01463162,1,0,1,1.273525
single_exp,150,anderson_3,anderson,limit,0.01185906,0.03049279,0.02485635,0.01299729,1,0,1,1.433662
single_exp,150,median_ensemble,ensemble,trajectory,0.01185906,0.03049279,0.00999953,0.00185954,1,0,1,10.020625
single_exp,150,stability_weighted,ensemble,trajectory,0.01185906,0.03049279,0.00999014,0.00186893,1,0,1,9.970284
single_exp,150,best_shanks_wynn,ensemble,limit,0.01185906,0.03049279,0.01,0.00185906,1,0,1,10.023176
single_exp,1000,current_value,baseline,limit,0.01,0.03049279,0.03049279,0.02049279,1,0,0,1.0
single_exp,1000,linear,baseline,trajectory,0.01,0.03049279,,,0,1,0,
single_exp,1000,log_linear,baseline,trajectory,0.01,0.03049279,0.01010942,0.00010942,1,0,1,187.282022
single_exp,1000,geom_avg_diff,baseline,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,richardson_1,richardson,trajectory,0.01,0.03049279,0.00588085,0.00411915,1,0,1,4.975005
single_exp,1000,richardson_2,richardson,trajectory,0.01,0.03049279,0.00349184,0.00650816,1,0,1,3.148785
single_exp,1000,richardson_3,richardson,trajectory,0.01,0.03049279,0.00255511,0.00744489,1,0,1,2.752597
single_exp,1000,richardson_a05,richardson,trajectory,0.01,0.03049279,-0.17576105,0.18576105,1,1,0,0.110318
single_exp,1000,richardson_a10,richardson,trajectory,0.01,0.03049279,-0.0701329,0.0801329,1,0,0,0.255735
single_exp,1000,richardson_a20,richardson,trajectory,0.01,0.03049279,0.0104748,0.0004748,1,0,1,43.160599
single_exp,1000,single_exp_fit,parametric,trajectory,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,double_exp_fit,parametric,trajectory,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,rational_fit,parametric,trajectory,0.01,0.03049279,0.00588067,0.00411933,1,0,1,4.974783
single_exp,1000,log_fit,parametric,trajectory,0.01,0.03049279,0.0575792,0.0475792,1,0,0,0.430709
single_exp,1000,shanks_1,shanks,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,1000,shanks_2,shanks,limit,0.01,0.03049279,0.00999953,4.7e-07,1,0,1,43300.953874
single_exp,1000,shanks_3,shanks,limit,0.01,0.03049279,0.00999829,1.71e-06,1,0,1,12010.269004
single_exp,1000,shanks_4,shanks,limit,0.01,0.03049279,0.00999992,8e-08,1,0,1,255138.520635
single_exp,1000,wynn_eps_1,wynn_eps,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
