regime,is_holdout,target_g,n_f,achieved_g,capped,best_by_skill,best_skill,family,method_type,skill_best_med_error,skill_best_valid_rate,skill_best_cat_rate,best_by_stability,stab_best_stability,stab_best_med_error,oracle_med_error
single_exp,0,0.5,108.0,0.4867522559599715,0,single_exp_fit,0.020347967533594608,parametric,trajectory,0.00021999105217047898,1.0,0.0,single_exp_fit,1.4,0.00021999105217047898,0.009974912656832825
single_exp,0,0.1,148.0,0.09827358560436156,0,single_exp_fit,0.01989466693005576,parametric,trajectory,0.0003275668676019526,1.0,0.0,single_exp_fit,1.4,0.0003275668676019526,0.0020139001327153655
single_exp,0,0.02,188.0,0.01984109474437028,0,single_exp_fit,0.020067447698282545,parametric,trajectory,0.00035881705206994904,1.0,0.0,single_exp_fit,1.4,0.00035881705206994904,0.0004065994243842054
two_exp,0,0.5,129.0,0.4955914190433955,0,single_exp_fit,0.0316343910617127,parametric,trajectory,0.0015994156198140333,1.0,0.0,single_exp_fit,1.4,0.0015994156198140333,0.04903861841173503
two_exp,0,0.1,218.0,0.09985826346226055,0,single_exp_fit,0.0664359643976706,parametric,trajectory,0.004164519616025108,1.0,0.0,single_exp_fit,1.4,0.004164519616025108,0.009880944441363518
two_exp,0,0.02,308.0,0.01976182043192707,0,single_exp_fit,0.0949568762395216,parametric,trajectory,0.005075357560205052,1.0,0.0,single_exp_fit,1.4,0.005075357560205052,0.0019554260506630047
three_exp,0,0.5,176.0,0.49876789415554024,0,pade_22,0.14124559958469662,pade,trajectory,0.010418094820980564,1.0,0.0,pade_22,1.4,0.010418094820980564,0.07339610071244385
three_exp,0,0.1,377.0,0.09988829507506856,0,richardson_3,0.32525206779721083,richardson,trajectory,0.025763064524683882,0.9889,0.0111,pade_11,1.4,0.029411911159911663,0.014699044287397031
three_exp,0,0.02,579.0,0.01984699300615729,0,richardson_3,0.28179223920740304,richardson,trajectory,0.022079011484859492,0.9889,0.0111,richardson_2,1.4,0.021789948219484743,0.0029205807241971795
four_exp,0,0.5,231.0,0.4980680166164721,0,richardson_2,0.06747824212665318,richardson,trajectory,0.005471519693265675,0.8778,0.1222,rational_fit,1.4,0.008829585962241746,0.08000646931083435
four_exp,0,0.1,631.0,0.09977805552230239,0,richardson_2,0.1929016808652363,richardson,trajectory,0.015724618274228927,0.8778,0.1222,log_linear,1.4,0.021878512571592963,0.016027710414473144
four_exp,0,0.02,1033.0,0.019984291029188302,0,richardson_3,0.19778884378325765,richardson,trajectory,0.011285403744522936,0.8778,0.1222,log_linear,1.4,0.024567274889496355,0.0032101490430707924
power_law,0,0.5,244.0,0.4999340482202355,0,richardson_1,0.05948373635028179,richardson,trajectory,0.0009349525401930476,1.0,0.0,rational_fit,1.4,0.0018566149139632657,0.017008802093861648
power_law,0,0.1,2441.0,0.09997859122064488,0,neville_4,0.07909215522843087,neville,trajectory,0.0023265098931677178,0.3333,0.6667,rational_fit,1.4,0.006639018771487247,0.003401480810816703
power_law,0,0.02,24329.0,0.01999997709892598,0,neville_4,0.13013585686964987,neville,trajectory,0.0037673842915620518,0.3333,0.6667,rational_fit,1.4,0.008443997730563448,0.0006804410573123029
