regime_set,target_g,method,method_type,valid_rate,cat_rate,med_error,med_skill,stability,n_cells
core,0.02,neville_2,trajectory,0.6459,0.7259,6.1996990845840365,256.91440406966035,-0.7167,45
core,0.02,pade_31,trajectory,0.6259,0.8393,1.8859105263544753,37.20942475794256,-1.0378,45
core,0.02,geom_avg_diff,limit,0.5963,0.4496,0.05326336638891243,1.9740707239808006,-0.1403,45
core,0.02,pade_32,trajectory,0.5896,0.6874,0.2729385921790197,8.577206515154403,-0.7247,45
core,0.02,neville_3,trajectory,0.4526,0.7778,160.87953029428934,4146.729911781694,-1.0141,45
core,0.02,pade_21,trajectory,0.4504,0.7163,0.21484108306943323,8.10010797431884,-0.9375,45
core,0.02,linear,trajectory,0.2963,0.8881,0.40552258684593756,6.227067278112584,-1.4607,45
core,0.02,neville_4,trajectory,0.2859,0.7556,0.28400222737996217,6.2813268110986815,-1.1363,45
core,0.1,pade_31,trajectory,0.8674,0.7729,1.9534675617057702,31.176385054480768,-0.6326,48
core,0.1,pade_32,trajectory,0.6875,0.5819,0.25740683975128986,5.547458859489219,-0.3733,48
core,0.1,neville_2,trajectory,0.6611,0.7194,4.526901205523439,192.49867984372247,-0.6855,48
core,0.1,pade_21,trajectory,0.6021,0.6049,0.3363963024795224,5.160831607359453,-0.546,48
core,0.1,geom_avg_diff,limit,0.6007,0.4417,0.05049465213778617,1.6719469766403985,-0.1185,48
core,0.1,neville_3,trajectory,0.4799,0.7708,111.07983725263524,3262.8665893374337,-0.9701,48
core,0.1,linear,trajectory,0.4438,0.7646,0.30567924491095194,6.048078615996712,-1.0599,48
core,0.1,neville_4,trajectory,0.3354,0.75,96.06736447122373,1742.4755398870004,-1.0729,48
core,0.5,pade_31,trajectory,0.8895,0.5265,0.20063301827217608,5.6735929510109475,-0.0557,54
core,0.5,neville_2,trajectory,0.7056,0.7191,1.2617741157352076,61.826478434756226,-0.6352,54
core,0.5,geom_avg_diff,limit,0.5778,0.4562,0.030149119307010867,1.0428507559525217,-0.178,54
core,0.5,neville_3,trajectory,0.563,0.7586,27.40063651439646,1435.5885195069116,-0.8578,54
core,0.5,neville_4,trajectory,0.4025,0.7407,12.142516365763587,2206.7639156025916,-0.9827,54
holdout,0.02,pade_31,trajectory,0.8,0.9333,2.0064720703604757,55.44000582568405,-1.0667,15
holdout,0.02,neville_2,trajectory,0.72,0.6533,5.517713839012484,161.96670584174362,-0.4524,15
holdout,0.02,geom_avg_diff,limit,0.6733,0.3378,0.041947155040766154,1.877637987109153,0.2049,15
holdout,0.02,pade_32,trajectory,0.6733,0.4356,0.13652469260393144,3.674842753820869,-0.0867,15
holdout,0.02,pade_21,trajectory,0.6444,0.4622,0.42784638908954487,9.437275920416258,-0.2124,15
holdout,0.02,neville_3,trajectory,0.5467,0.6667,151.64864243967918,5271.484686922941,-0.6533,15
holdout,0.02,linear,trajectory,0.4067,0.9422,0.46745789230366935,10.306264769671262,-1.4778,15
holdout,0.02,neville_4,trajectory,0.3644,0.6667,0.07263738984146303,2.3921443681203183,-0.8622,15
holdout,0.1,pade_21,trajectory,0.7311,0.3622,0.11581261353937665,2.394323229874901,0.1169,15
holdout,0.1,neville_2,trajectory,0.7289,0.6445,3.605635271901354,116.72329323409966,-0.4258,15
holdout,0.1,pade_32,trajectory,0.6911,0.3356,0.06442375230492282,1.6040093023616298,0.1907,15
holdout,0.1,geom_avg_diff,limit,0.6778,0.3378,0.03898457544275412,1.4935936136795727,0.2102,15
holdout,0.1,neville_3,trajectory,0.5822,0.6667,86.89723822938575,3567.708053596869,-0.6178,15
holdout,0.1,linear,trajectory,0.4911,0.7956,0.5917430428186474,6.781651860156422,-1.1,15
holdout,0.1,neville_4,trajectory,0.3933,0.6667,67.84239825268453,1122.8106970220026,-0.8333,15
holdout,0.5,neville_2,trajectory,0.7759,0.6167,1.0296953355337495,31.4362629325047,-0.3218,18
holdout,0.5,geom_avg_diff,limit,0.6722,0.3444,0.02308688200002726,0.9937147451764687,0.1848,18
holdout,0.5,neville_3,trajectory,0.6722,0.6611,21.87281594584619,674.1012357325538,-0.5159,18
holdout,0.5,neville_4,trajectory,0.5,0.6667,59.69282963326483,1768.3439013588386,-0.7,18
