regime,target_g,feature,spearman_vs_margin,p_vs_margin,spearman_vs_losing,p_vs_losing,n_obs
ALL,0.1,log_log_slope,-0.0186,0.5539,-0.024,0.4438,1020
ALL,0.1,curvature_idx,0.2477,0.0,0.1858,0.0,1020
ALL,0.1,oscillation_idx,0.2392,0.0,0.1757,0.0,1020
ALL,0.1,noise_var,0.0993,0.0015,0.0837,0.0075,1020
ALL,0.1,richardson_r2,-0.4483,0.0,-0.4178,0.0,1020
ALL,0.1,diff_ratio_cv,0.3877,0.0,0.3384,0.0,1020
broken_power_law,0.1,log_log_slope,0.8538,0.0,,,45
broken_power_law,0.1,curvature_idx,-0.02,0.8965,,,45
broken_power_law,0.1,oscillation_idx,0.1853,0.2229,,,45
broken_power_law,0.1,noise_var,0.4461,0.0021,,,45
broken_power_law,0.1,richardson_r2,-0.8937,0.0,,,45
broken_power_law,0.1,diff_ratio_cv,0.4267,0.0035,,,45
damped_osc_pow,0.1,log_log_slope,0.0221,0.8613,,,65
damped_osc_pow,0.1,curvature_idx,0.4181,0.0005,,,65
damped_osc_pow,0.1,oscillation_idx,0.4197,0.0005,,,65
damped_osc_pow,0.1,noise_var,0.3954,0.0011,,,65
damped_osc_pow,0.1,richardson_r2,-0.4226,0.0005,,,65
damped_osc_pow,0.1,diff_ratio_cv,0.4717,0.0001,,,65
delayed_plateau,0.1,log_log_slope,0.095,0.4518,,,65
delayed_plateau,0.1,curvature_idx,0.095,0.4518,,,65
delayed_plateau,0.1,oscillation_idx,0.1764,0.1598,,,65
delayed_plateau,0.1,noise_var,0.1519,0.2269,,,65
delayed_plateau,0.1,richardson_r2,-0.2327,0.0622,,,65
delayed_plateau,0.1,diff_ratio_cv,0.1472,0.242,,,65
four_exp,0.1,log_log_slope,,,,,65
four_exp,0.1,curvature_idx,,,,,65
four_exp,0.1,oscillation_idx,,,,,65
four_exp,0.1,noise_var,,,,,65
four_exp,0.1,richardson_r2,,,,,65
four_exp,0.1,diff_ratio_cv,,,,,65
heavy_noise_plat,0.1,log_log_slope,-0.2174,0.0819,,,65
heavy_noise_plat,0.1,curvature_idx,-0.4038,0.0009,,,65
heavy_noise_plat,0.1,oscillation_idx,0.1025,0.4164,,,65
heavy_noise_plat,0.1,noise_var,-0.3577,0.0034,,,65
heavy_noise_plat,0.1,richardson_r2,0.2095,0.0939,,,65
heavy_noise_plat,0.1,diff_ratio_cv,-0.0418,0.7408,,,65
log_oscillatory,0.1,log_log_slope,,,,,0
log_oscillatory,0.1,curvature_idx,,,,,0
log_oscillatory,0.1,oscillation_idx,,,,,0
log_oscillatory,0.1,noise_var,,,,,0
log_oscillatory,0.1,richardson_r2,,,,,0
log_oscillatory,0.1,diff_ratio_cv,,,,,0
log_slow,0.1,log_log_slope,,,,,0
log_slow,0.1,curvature_idx,,,,,0
log_slow,0.1,oscillation_idx,,,,,0
log_slow,0.1,noise_var,,,,,0
log_slow,0.1,richardson_r2,,,,,0
log_slow,0.1,diff_ratio_cv,,,,,0
mixed_pow_rat,0.1,log_log_slope,-0.2422,0.0519,,,65
mixed_pow_rat,0.1,curvature_idx,0.2944,0.0173,,,65
mixed_pow_rat,0.1,oscillation_idx,0.2193,0.0792,,,65
mixed_pow_rat,0.1,noise_var,0.2564,0.0392,,,65
mixed_pow_rat,0.1,richardson_r2,-0.2944,0.0173,,,65
mixed_pow_rat,0.1,diff_ratio_cv,0.2944,0.0173,,,65
multiphase,0.1,log_log_slope,0.2132,0.0882,,,65
multiphase,0.1,curvature_idx,0.2132,0.0882,,,65
multiphase,0.1,oscillation_idx,0.1473,0.2416,,,65
multiphase,0.1,noise_var,0.1732,0.1676,,,65
multiphase,0.1,richardson_r2,-0.2132,0.0882,,,65
multiphase,0.1,diff_ratio_cv,0.2132,0.0882,,,65
noisy_plateau,0.1,log_log_slope,0.0636,0.6148,,,65
