regime,obs_idx,noise,target_g,n_f,achieved_g,capped,richardson_stability,richardson_valid_rate,richardson_below_floor,richardson_rank,richardson_err_rank,n_rank_pool,n_rank_eligible,best_method,best_stability,stability_margin,richardson_wins,constant_assumed_stability,constant_assumed_med_error,constant_assumed_valid_rate,constant_oracle_stability,constant_oracle_med_error
broken_power_law,20,0.0,0.5,45.0,0.4937593319028003,0,1.4,1.0,0,5.0,6.0,9,9,pade_22,1.4,0.0,0,0.4,0.06430944012266282,1.0,1.4,0.025503978786290106
broken_power_law,20,0.003,0.5,45.0,0.4937593319028003,0,1.4,1.0,0,3.0,4.0,9,9,pade_22,1.4,0.0,0,0.4,0.06430944012266282,1.0,1.18,0.025503978786290106
broken_power_law,20,0.005,0.5,45.0,0.4937593319028003,0,1.4,1.0,0,3.0,3.0,9,9,pade_22,1.4,0.0,0,0.3,0.06430944012266282,1.0,1.28,0.025503978786290106
broken_power_law,20,0.01,0.5,45.0,0.4937593319028003,0,1.24,1.0,0,3.0,4.0,9,9,rational_fit,1.28,0.04,0,0.42,0.06430944012266282,1.0,1.08,0.025503978786290106
broken_power_law,20,0.02,0.5,45.0,0.4937593319028003,0,1.34,1.0,0,2.0,2.0,9,9,rational_fit,1.38,0.04,0,0.18,0.06430944012266282,1.0,1.12,0.025503978786290106
broken_power_law,30,0.0,0.5,12827.0,0.4999907202217947,0,1.0,1.0,0,8.0,8.0,9,9,levin_t2,1.4,0.4,0,0.3,0.05699519777996469,1.0,1.4,0.01818973644359198
broken_power_law,30,0.003,0.5,12827.0,0.4999907202217947,0,1.02,1.0,0,6.0,8.0,9,9,rational_fit,1.38,0.36,0,0.3,0.05699519777996469,1.0,1.24,0.01818973644359198
broken_power_law,30,0.005,0.5,12827.0,0.4999907202217947,0,0.9,1.0,0,8.0,8.0,9,9,rational_fit,1.38,0.48,0,0.3,0.05699519777996469,1.0,1.24,0.01818973644359198
broken_power_law,30,0.01,0.5,12827.0,0.4999907202217947,0,0.2,1.0,0,8.0,8.0,9,9,current_value,1.0,0.8,0,0.0,0.05699519777996469,1.0,0.74,0.01818973644359198
broken_power_law,30,0.02,0.5,12827.0,0.4999907202217947,0,-0.04,1.0,0,8.0,7.0,9,9,current_value,1.0,1.04,0,-0.38,0.05699519777996469,1.0,0.36,0.01818973644359198
