regime,obs_idx,noise,future_idx,richardson_stability,richardson_rank,best_method,best_stability,stability_margin,richardson_wins
broken_power_law,20,0.0,5000,1.0,7,anderson_1,1.4,0.4,0
broken_power_law,20,0.003,5000,1.0,7,rational_fit,1.36,0.36,0
broken_power_law,20,0.005,5000,1.04,6,rational_fit,1.34,0.3,0
broken_power_law,20,0.01,5000,0.98,7,rational_fit,1.26,0.28,0
broken_power_law,20,0.02,5000,0.96,4,richardson_a10,1.02,0.06,0
broken_power_law,30,0.0,5000,1.0,6,anderson_1,1.4,0.4,0
broken_power_law,30,0.003,5000,0.6,8,anderson_1,1.12,0.52,0
broken_power_law,30,0.005,5000,0.3,8,anderson_1,1.1,0.8,0
broken_power_law,30,0.01,5000,0.7,7,richardson_a10,1.22,0.52,0
broken_power_law,30,0.02,5000,0.64,6,current_value,1.0,0.36,0
broken_power_law,40,0.0,5000,-1.0,7,anderson_1,1.4,2.4,0
broken_power_law,40,0.003,5000,-0.9,8,anderson_1,1.02,1.92,0
broken_power_law,40,0.005,5000,-0.6,8,anderson_1,1.0,1.6,0
broken_power_law,40,0.01,5000,-0.1,8,current_value,1.0,1.1,0
broken_power_law,40,0.02,5000,0.52,6,richardson_a10,1.3,0.78,0
broken_power_law,50,0.0,5000,-1.0,8,richardson_a10,1.4,2.4,0
broken_power_law,50,0.003,5000,-0.8,8,richardson_a10,1.14,1.94,0
broken_power_law,50,0.005,5000,-0.8,8,anderson_1,1.18,1.98,0
broken_power_law,50,0.01,5000,0.2,6,richardson_a10,1.18,0.98,0
broken_power_law,50,0.02,5000,0.68,6,richardson_a10,1.36,0.68,0
broken_power_law,60,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
broken_power_law,60,0.003,5000,1.4,5,anderson_1,1.4,0.0,0
broken_power_law,60,0.005,5000,1.4,5,anderson_1,1.4,0.0,0
broken_power_law,60,0.01,5000,1.4,5,anderson_1,1.4,0.0,0
broken_power_law,60,0.02,5000,1.4,5,rational_fit,1.4,0.0,0
broken_power_law,70,0.0,5000,1.0,9,anderson_1,1.4,0.4,0
broken_power_law,70,0.003,5000,1.04,8,log_linear,1.4,0.36,0
