target_g,feature,operator,threshold,alternative,n_fire,n_total,fire_rate,precision,recall,mean_gain
0.5,log_log_slope,>,-0.1,rational_fit,109,1170,0.093,0.615,0.213,0.1404
0.5,log_log_slope,>,-0.1,pade_22,109,1170,0.093,0.385,0.21,-0.0493
0.5,richardson_r2,<,0.85,rational_fit,514,1170,0.439,0.362,0.59,0.04
0.5,richardson_r2,<,0.7,rational_fit,355,1170,0.303,0.355,0.4,0.0319
0.5,richardson_r2,<,0.5,rational_fit,268,1170,0.229,0.343,0.292,0.0217
0.5,noise_var,>,0.0001,single_exp_fit,760,1170,0.65,0.32,0.732,-0.0138
0.5,log_log_slope,>,-0.3,rational_fit,554,1170,0.474,0.285,0.502,0.035
0.5,curvature_idx,>,0.1,rational_fit,489,1170,0.418,0.274,0.425,0.0042
0.5,oscillation_idx,>,0.05,log_linear,960,1170,0.821,0.22,0.876,-0.1273
0.5,oscillation_idx,>,0.2,log_linear,906,1170,0.774,0.216,0.813,-0.1367
0.5,oscillation_idx,>,0.1,log_linear,931,1170,0.796,0.216,0.834,-0.1327
0.5,richardson_r2,<,0.7,log_linear,355,1170,0.303,0.186,0.274,-0.3639
0.5,noise_var,>,1e-05,richardson_a10,1014,1170,0.867,0.182,0.934,-0.1124
0.5,diff_ratio_cv,<,0.01,levin_t2,133,1170,0.114,0.18,0.14,-0.0858
0.5,richardson_r2,<,0.5,pade_22,268,1170,0.229,0.168,0.225,-0.3763
0.5,diff_ratio_cv,<,0.05,pade_22,568,1170,0.485,0.158,0.45,-0.1348
0.5,oscillation_idx,>,0.05,levin_t2,960,1170,0.821,0.139,0.773,-0.1846
0.5,richardson_r2,<,0.5,levin_t2,268,1170,0.229,0.108,0.169,-0.2349
0.5,curvature_idx,>,0.2,pade_22,307,1170,0.262,0.091,0.14,-0.6623
