method,regime,obs_idx,noise,target_g,n_f,achieved_g,capped,L_true,L_hat,is_trivial,is_oracle,valid_rate,cat_rate,beats_rate,med_error,med_skill,stability,n_seeds
current_value,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.0,0.17296280787375512,1.0,1.0,20
richardson_1,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.2,0.18394699975178544,1.0635060913560541,1.08,20
richardson_a10,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.0,0.2798203647018145,1.6178065570377087,1.0,20
single_exp_fit,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,1.485392364664051e-11,8.627061573712792e-11,1.4,20
rational_fit,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.0697920659848364,0.40350909448566163,1.4,20
pade_22,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.000349644759269338,0.002021502563457072,1.4,20
log_linear,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.16104132277441585,0.9310748637473514,1.4,20
weniger_d2,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.35,0.1873130717599767,1.0829673388321481,1.14,20
anderson_1,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.15366571402953205,0.8884321197057157,1.4,20
constant_assumed,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,1,0,1.0,0.0,0.35,0.1873130717599767,1.0829673388321481,1.14,20
constant_oracle,single_exp,20,0.0,0.5,38.0,0.4867522559599716,0,0.02327915654581565,0.0,1,1,1.0,0.0,1.0,0.16403391521416105,0.9483768055724949,1.4,20
current_value,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.0,0.3038788467731465,5.392178630122514,1.0,20
richardson_1,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.259814335542234,4.610377558651999,1.4,20
richardson_a10,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.0,0.40527545352608063,7.191410863316649,1.0,20
single_exp_fit,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,3.673871970533149e-11,6.092768688178294e-10,1.4,20
rational_fit,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.09336005003716644,1.6570172623958315,1.4,20
pade_22,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.00967631490773737,0.17170138368529186,1.4,20
log_linear,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.23272189732195017,4.129613882884348,1.4,20
weniger_d2,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.9,0.0563970328605853,1.0,1.36,20
anderson_1,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.02274967513014063,0.40368164280469243,1.4,20
constant_assumed,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,1,0,1.0,0.0,0.9,0.0563970328605853,1.0,1.36,20
constant_oracle,single_exp,20,0.0,0.1,78.0,0.09827358560436153,0,0.02327915654581565,0.0,1,1,1.0,0.0,1.0,0.033117876314769645,0.5876602035180625,1.4,20
current_value,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.0,0.3303103391765865,11.051845620945432,1.0,20
richardson_1,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.2583400211537082,8.64424229406393,1.4,20
richardson_a10,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.0,0.4299483348883786,14.385630900970977,1.0,20
single_exp_fit,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,4.5191607400685285e-11,9.046779793334913e-10,1.4,20
rational_fit,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.07805995434493326,2.5339262875009947,1.4,20
pade_22,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.03434465555704287,1.149136996638274,1.4,20
log_linear,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.229738847240227,7.687208893901139,1.4,20
weniger_d2,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,0.9,0.029965540457145314,1.0,1.36,20
anderson_1,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,0,0,1.0,0.0,1.0,0.0036818172732993593,0.12318983477919578,1.4,20
constant_assumed,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,1,0,1.0,0.0,0.9,0.029965540457145314,1.0,1.36,20
constant_oracle,single_exp,20,0.0,0.02,118.0,0.019841094744370295,0,0.02327915654581565,0.0,1,1,1.0,0.0,1.0,0.006686383911329665,0.22371955699177465,1.4,20
current_value,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.18201761971309505,1.0,1.0,20
richardson_1,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.13017079173433793,0.7151548951113604,1.4,20
richardson_a10,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.24811219125554435,1.3631218320876342,1.0,20
single_exp_fit,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.11550233917093396,0.634566803768747,1.4,20
rational_fit,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.04445679063319283,0.24424443470510032,1.4,20
pade_22,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.04316379572161984,0.23714075477778856,1.4,20
log_linear,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.11608196727510896,0.6377512652790591,1.4,20
weniger_d2,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.23047905200885266,1.2662458303330464,1.0,20
anderson_1,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.031659230424904095,0.17393497659625975,1.4,20
constant_assumed,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,1,0,1.0,0.0,0.0,0.23047905200885266,1.2662458303330464,1.0,20
constant_oracle,two_exp,20,0.0,0.5,57.0,0.4961937115703413,0,0.05121174159446621,0.0,1,1,1.0,0.0,1.0,0.17926731041438645,0.9848898732823573,1.4,20
current_value,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.3251735483422501,3.7983701477837806,1.0,20
richardson_1,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.21051341654260924,2.4621803950208188,1.4,20
richardson_a10,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.38717452300478605,4.5226069514607055,1.0,20
single_exp_fit,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.25621365069654833,2.9928457967742528,1.4,20
rational_fit,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.11797119556336147,1.3780280313355544,1.4,20
pade_22,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.11603694400387121,1.3554339410180511,1.4,20
log_linear,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.1938786224722474,2.2675117372239355,1.4,20
weniger_d2,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.85,0.0873231233796976,1.0,1.34,20
anderson_1,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.17481515905405914,2.042025511964853,1.4,20
constant_assumed,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,1,0,1.0,0.0,0.85,0.0873231233796976,1.0,1.34,20
constant_oracle,two_exp,20,0.0,0.1,146.0,0.09995263785978915,0,0.05121174159446621,0.0,1,1,1.0,0.0,1.0,0.036111381785231385,0.42181904176251833,1.4,20
current_value,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.3541385346653246,6.347387938024868,1.0,20
richardson_1,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.21175611342558545,3.804317336411118,1.4,20
richardson_a10,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.0,0.41513969253134775,7.440739764338443,1.0,20
single_exp_fit,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.28517792626855787,5.111375238902166,1.4,20
rational_fit,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.1270424888158168,2.2770409807268663,1.4,20
pade_22,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.1249054531033818,2.238737919812028,1.4,20
log_linear,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.19438583201449328,3.492276374154107,1.4,20
weniger_d2,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,0.85,0.058358137056623106,1.0,1.34,20
anderson_1,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,0,0,1.0,0.0,1.0,0.20378014537713365,3.6524453290522434,1.4,20
constant_assumed,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,1,0,1.0,0.0,0.85,0.058358137056623106,1.0,1.34,20
constant_oracle,two_exp,20,0.0,0.02,236.0,0.019780496960211558,0,0.05121174159446621,0.0,1,1,1.0,0.0,1.0,0.007146395462156896,0.12808813477391914,1.4,20
current_value,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.16634216573954994,1.0,1.0,20
richardson_1,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.08529745506405295,0.5127831219752625,1.4,20
richardson_a10,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.21957101943932872,1.319996156495412,1.0,20
single_exp_fit,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.13459581381608865,0.809150303037607,1.4,20
rational_fit,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.04910456796166404,0.29520216803326627,1.4,20
pade_22,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.06171584206960623,0.3710174254087671,1.4,20
log_linear,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,1.0,0.073365968708474,0.4410545479090774,1.4,20
weniger_d2,three_exp,20,0.0,0.5,76.0,0.4994055594985231,0,0.05883875511903757,0.0,0,0,1.0,0.0,0.0,0.22478586844721868,1.3513462894259591,1.0,20
