held_out_regime,selector,mean_stability,n
broken_power_law,phase2_cascade,1.2831,110
broken_power_law,enhanced_cascade,1.2459,110
broken_power_law,oracle,1.3825,110
broken_power_law,fixed_richardson,0.9889,110
broken_power_law,fixed_single_exp,1.2807,110
damped_osc_pow,phase2_cascade,1.3643,180
damped_osc_pow,enhanced_cascade,1.2648,180
damped_osc_pow,oracle,1.3908,180
damped_osc_pow,fixed_richardson,1.3696,180
damped_osc_pow,fixed_single_exp,1.1852,180
delayed_plateau,phase2_cascade,1.3805,195
delayed_plateau,enhanced_cascade,1.3799,195
delayed_plateau,oracle,1.3997,195
delayed_plateau,fixed_richardson,1.3805,195
delayed_plateau,fixed_single_exp,1.3465,195
four_exp,phase2_cascade,1.399,195
four_exp,enhanced_cascade,1.3801,195
four_exp,oracle,1.4,195
four_exp,fixed_richardson,1.3998,195
four_exp,fixed_single_exp,1.3669,195
heavy_noise_plat,phase2_cascade,1.1785,195
heavy_noise_plat,enhanced_cascade,0.9794,195
heavy_noise_plat,oracle,1.2763,195
heavy_noise_plat,fixed_richardson,1.1807,195
heavy_noise_plat,fixed_single_exp,1.229,195
log_oscillatory,phase2_cascade,1.2849,65
log_oscillatory,enhanced_cascade,1.2812,65
log_oscillatory,oracle,1.3929,65
log_oscillatory,fixed_richardson,1.3554,65
log_oscillatory,fixed_single_exp,1.2052,65
log_slow,phase2_cascade,1.3708,65
log_slow,enhanced_cascade,1.2108,65
log_slow,oracle,1.3975,65
log_slow,fixed_richardson,1.3923,65
log_slow,fixed_single_exp,1.1969,65
mixed_pow_rat,phase2_cascade,1.3938,195
mixed_pow_rat,enhanced_cascade,1.3438,195
mixed_pow_rat,oracle,1.4,195
mixed_pow_rat,fixed_richardson,1.3939,195
mixed_pow_rat,fixed_single_exp,1.3131,195
multiphase,phase2_cascade,1.3983,195
multiphase,enhanced_cascade,1.3848,195
multiphase,oracle,1.4,195
multiphase,fixed_richardson,1.3996,195
multiphase,fixed_single_exp,1.3758,195
noisy_plateau,phase2_cascade,1.1189,195
noisy_plateau,enhanced_cascade,1.1189,195
noisy_plateau,oracle,1.2802,195
noisy_plateau,fixed_richardson,1.216,195
noisy_plateau,fixed_single_exp,1.1606,195
osc_exp,phase2_cascade,1.1865,195
osc_exp,enhanced_cascade,1.2094,195
osc_exp,oracle,1.3479,195
osc_exp,fixed_richardson,1.1863,195
osc_exp,fixed_single_exp,1.2759,195
power_law,phase2_cascade,1.3288,195
power_law,enhanced_cascade,1.2315,195
power_law,oracle,1.3756,195
power_law,fixed_richardson,1.3431,195
power_law,fixed_single_exp,1.1509,195
rational_decay,phase2_cascade,1.3933,195
rational_decay,enhanced_cascade,1.3954,195
rational_decay,oracle,1.4,195
rational_decay,fixed_richardson,1.3932,195
rational_decay,fixed_single_exp,1.3935,195
single_exp,phase2_cascade,1.0006,195
single_exp,enhanced_cascade,1.0038,195
single_exp,oracle,1.3341,195
single_exp,fixed_richardson,1.0023,195
single_exp,fixed_single_exp,1.3288,195
slow_osc_power,phase2_cascade,1.1973,195
slow_osc_power,enhanced_cascade,1.0734,195
slow_osc_power,oracle,1.3529,195
slow_osc_power,fixed_richardson,1.1848,195
slow_osc_power,fixed_single_exp,1.0138,195
staircase,phase2_cascade,1.3174,195
staircase,enhanced_cascade,1.3515,195
staircase,oracle,1.3891,195
staircase,fixed_richardson,1.2846,195
staircase,fixed_single_exp,1.3586,195
three_exp,phase2_cascade,1.399,195
three_exp,enhanced_cascade,1.3561,195
three_exp,oracle,1.3995,195
three_exp,fixed_richardson,1.3986,195
three_exp,fixed_single_exp,1.3314,195
two_exp,phase2_cascade,1.3639,195
two_exp,enhanced_cascade,1.3862,195
two_exp,oracle,1.3967,195
two_exp,fixed_richardson,1.3639,195
two_exp,fixed_single_exp,1.3821,195
