regime,n_samples,n_correct,accuracy,top_confusion
slow_osc_power,65,0,0.0,four_exp
mixed_pow_rat,65,0,0.0,four_exp
multiphase,65,0,0.0,four_exp
rational_decay,65,0,0.0,four_exp
two_exp,65,6,0.092,osc_exp
three_exp,65,9,0.138,four_exp
damped_osc_pow,65,11,0.169,four_exp
osc_exp,65,18,0.277,four_exp
single_exp,65,19,0.292,osc_exp
power_law,65,20,0.308,four_exp
__OVERALL__,1170,412,0.352,-
four_exp,65,26,0.4,log_slow
log_slow,65,26,0.4,four_exp
broken_power_law,65,27,0.415,power_law
delayed_plateau,65,31,0.477,four_exp
log_oscillatory,65,39,0.6,four_exp
heavy_noise_plat,65,57,0.877,power_law
noisy_plateau,65,61,0.938,log_oscillatory
staircase,65,62,0.954,log_slow
