selector,regime,target_g,mean_stability,n,n_capped_excluded
fixed_current,broken_power_law,0.1,1.0,45,20
fixed_current,broken_power_law,0.5,1.0,65,0
fixed_current,damped_osc_pow,0.02,1.0,50,15
fixed_current,damped_osc_pow,0.1,1.0,65,0
fixed_current,damped_osc_pow,0.5,1.0,65,0
fixed_current,delayed_plateau,0.02,1.0,65,0
fixed_current,delayed_plateau,0.1,1.0,65,0
fixed_current,delayed_plateau,0.5,1.0,65,0
fixed_current,four_exp,0.02,1.0,65,0
fixed_current,four_exp,0.1,1.0,65,0
fixed_current,four_exp,0.5,1.0,65,0
fixed_current,heavy_noise_plat,0.02,1.0,65,0
fixed_current,heavy_noise_plat,0.1,1.0,65,0
fixed_current,heavy_noise_plat,0.5,1.0,65,0
fixed_current,log_oscillatory,0.5,1.0,65,0
fixed_current,log_slow,0.5,1.0,65,0
fixed_current,mixed_pow_rat,0.02,1.0,65,0
fixed_current,mixed_pow_rat,0.1,1.0,65,0
fixed_current,mixed_pow_rat,0.5,1.0,65,0
fixed_current,multiphase,0.02,1.0,65,0
fixed_current,multiphase,0.1,1.0,65,0
fixed_current,multiphase,0.5,1.0,65,0
fixed_current,noisy_plateau,0.02,1.0,65,0
fixed_current,noisy_plateau,0.1,1.0,65,0
fixed_current,noisy_plateau,0.5,1.0,65,0
fixed_current,osc_exp,0.02,1.0,65,0
fixed_current,osc_exp,0.1,1.0,65,0
fixed_current,osc_exp,0.5,1.0,65,0
fixed_current,power_law,0.02,1.0,65,0
fixed_current,power_law,0.1,1.0,65,0
fixed_current,power_law,0.5,1.0,65,0
fixed_current,rational_decay,0.02,1.0,65,0
fixed_current,rational_decay,0.1,1.0,65,0
fixed_current,rational_decay,0.5,1.0,65,0
fixed_current,single_exp,0.02,1.0,65,0
fixed_current,single_exp,0.1,1.0,65,0
fixed_current,single_exp,0.5,1.0,65,0
fixed_current,slow_osc_power,0.02,1.0,65,0
fixed_current,slow_osc_power,0.1,1.0,65,0
fixed_current,slow_osc_power,0.5,1.0,65,0
fixed_current,staircase,0.02,1.0,65,0
fixed_current,staircase,0.1,1.0,65,0
fixed_current,staircase,0.5,1.0,65,0
fixed_current,three_exp,0.02,1.0,65,0
fixed_current,three_exp,0.1,1.0,65,0
fixed_current,three_exp,0.5,1.0,65,0
fixed_current,two_exp,0.02,1.0,65,0
fixed_current,two_exp,0.1,1.0,65,0
fixed_current,two_exp,0.5,1.0,65,0
fixed_richardson,broken_power_law,0.1,0.9333,45,20
fixed_richardson,broken_power_law,0.5,1.0274,65,0
fixed_richardson,damped_osc_pow,0.02,1.35,50,15
fixed_richardson,damped_osc_pow,0.1,1.3772,65,0
fixed_richardson,damped_osc_pow,0.5,1.3769,65,0
fixed_richardson,delayed_plateau,0.02,1.3997,65,0
fixed_richardson,delayed_plateau,0.1,1.3975,65,0
fixed_richardson,delayed_plateau,0.5,1.3443,65,0
fixed_richardson,four_exp,0.02,1.4,65,0
fixed_richardson,four_exp,0.1,1.4,65,0
fixed_richardson,four_exp,0.5,1.3994,65,0
fixed_richardson,heavy_noise_plat,0.02,1.1452,65,0
fixed_richardson,heavy_noise_plat,0.1,1.1797,65,0
fixed_richardson,heavy_noise_plat,0.5,1.2172,65,0
fixed_richardson,log_oscillatory,0.5,1.3554,65,0
fixed_richardson,log_slow,0.5,1.3923,65,0
fixed_richardson,mixed_pow_rat,0.02,1.3834,65,0
fixed_richardson,mixed_pow_rat,0.1,1.3994,65,0
fixed_richardson,mixed_pow_rat,0.5,1.3991,65,0
fixed_richardson,multiphase,0.02,1.3997,65,0
fixed_richardson,multiphase,0.1,1.3997,65,0
fixed_richardson,multiphase,0.5,1.3994,65,0
fixed_richardson,noisy_plateau,0.02,1.1778,65,0
fixed_richardson,noisy_plateau,0.1,1.2277,65,0
fixed_richardson,noisy_plateau,0.5,1.2425,65,0
fixed_richardson,osc_exp,0.02,1.2268,65,0
fixed_richardson,osc_exp,0.1,1.2243,65,0
fixed_richardson,osc_exp,0.5,1.1077,65,0
fixed_richardson,power_law,0.02,1.3252,65,0
fixed_richardson,power_law,0.1,1.3517,65,0
fixed_richardson,power_law,0.5,1.3523,65,0
fixed_richardson,rational_decay,0.02,1.3855,65,0
fixed_richardson,rational_decay,0.1,1.3978,65,0
fixed_richardson,rational_decay,0.5,1.3963,65,0
fixed_richardson,single_exp,0.02,1.0615,65,0
fixed_richardson,single_exp,0.1,1.0351,65,0
fixed_richardson,single_exp,0.5,0.9102,65,0
fixed_richardson,slow_osc_power,0.02,1.1535,65,0
fixed_richardson,slow_osc_power,0.1,1.2123,65,0
fixed_richardson,slow_osc_power,0.5,1.1886,65,0
fixed_richardson,staircase,0.02,1.3363,65,0
fixed_richardson,staircase,0.1,1.3354,65,0
fixed_richardson,staircase,0.5,1.1822,65,0
fixed_richardson,three_exp,0.02,1.4,65,0
fixed_richardson,three_exp,0.1,1.3997,65,0
fixed_richardson,three_exp,0.5,1.396,65,0
fixed_richardson,two_exp,0.02,1.3822,65,0
fixed_richardson,two_exp,0.1,1.3948,65,0
fixed_richardson,two_exp,0.5,1.3148,65,0
fixed_rational,broken_power_law,0.1,1.3747,45,20
fixed_rational,broken_power_law,0.5,1.3502,65,0
fixed_rational,damped_osc_pow,0.02,1.3852,50,15
fixed_rational,damped_osc_pow,0.1,1.3769,65,0
fixed_rational,damped_osc_pow,0.5,1.3702,65,0
fixed_rational,delayed_plateau,0.02,1.3997,65,0
fixed_rational,delayed_plateau,0.1,1.3994,65,0
fixed_rational,delayed_plateau,0.5,1.3938,65,0
fixed_rational,four_exp,0.02,1.3957,65,0
fixed_rational,four_exp,0.1,1.3978,65,0
fixed_rational,four_exp,0.5,1.3994,65,0
fixed_rational,heavy_noise_plat,0.02,1.1243,65,0
fixed_rational,heavy_noise_plat,0.1,1.1766,65,0
fixed_rational,heavy_noise_plat,0.5,1.2314,65,0
fixed_rational,log_oscillatory,0.5,1.2803,65,0
fixed_rational,log_slow,0.5,1.3606,65,0
fixed_rational,mixed_pow_rat,0.02,1.3948,65,0
fixed_rational,mixed_pow_rat,0.1,1.3948,65,0
fixed_rational,mixed_pow_rat,0.5,1.3978,65,0
fixed_rational,multiphase,0.02,1.3972,65,0
fixed_rational,multiphase,0.1,1.3975,65,0
fixed_rational,multiphase,0.5,1.3985,65,0
fixed_rational,noisy_plateau,0.02,1.0277,65,0
fixed_rational,noisy_plateau,0.1,1.1123,65,0
fixed_rational,noisy_plateau,0.5,1.2166,65,0
fixed_rational,osc_exp,0.02,1.2354,65,0
fixed_rational,osc_exp,0.1,1.2603,65,0
fixed_rational,osc_exp,0.5,1.2012,65,0
fixed_rational,power_law,0.02,1.3342,65,0
fixed_rational,power_law,0.1,1.34,65,0
fixed_rational,power_law,0.5,1.3378,65,0
fixed_rational,rational_decay,0.02,1.3923,65,0
fixed_rational,rational_decay,0.1,1.396,65,0
fixed_rational,rational_decay,0.5,1.3982,65,0
fixed_rational,single_exp,0.02,1.1018,65,0
fixed_rational,single_exp,0.1,1.0963,65,0
fixed_rational,single_exp,0.5,1.0274,65,0
fixed_rational,slow_osc_power,0.02,1.1271,65,0
fixed_rational,slow_osc_power,0.1,1.1197,65,0
fixed_rational,slow_osc_power,0.5,1.1135,65,0
fixed_rational,staircase,0.02,1.3994,65,0
fixed_rational,staircase,0.1,1.3988,65,0
fixed_rational,staircase,0.5,1.3265,65,0
fixed_rational,three_exp,0.02,1.3972,65,0
fixed_rational,three_exp,0.1,1.3991,65,0
fixed_rational,three_exp,0.5,1.3982,65,0
fixed_rational,two_exp,0.02,1.3855,65,0
fixed_rational,two_exp,0.1,1.3942,65,0
fixed_rational,two_exp,0.5,1.3754,65,0
fixed_single_exp,broken_power_law,0.1,1.3716,45,20
fixed_single_exp,broken_power_law,0.5,1.2178,65,0
fixed_single_exp,damped_osc_pow,0.02,1.1772,50,15
fixed_single_exp,damped_osc_pow,0.1,1.2025,65,0
fixed_single_exp,damped_osc_pow,0.5,1.1742,65,0
fixed_single_exp,delayed_plateau,0.02,1.3465,65,0
fixed_single_exp,delayed_plateau,0.1,1.3465,65,0
fixed_single_exp,delayed_plateau,0.5,1.3465,65,0
fixed_single_exp,four_exp,0.02,1.3658,65,0
fixed_single_exp,four_exp,0.1,1.3668,65,0
fixed_single_exp,four_exp,0.5,1.368,65,0
fixed_single_exp,heavy_noise_plat,0.02,1.2058,65,0
fixed_single_exp,heavy_noise_plat,0.1,1.2277,65,0
fixed_single_exp,heavy_noise_plat,0.5,1.2535,65,0
fixed_single_exp,log_oscillatory,0.5,1.2052,65,0
fixed_single_exp,log_slow,0.5,1.1969,65,0
fixed_single_exp,mixed_pow_rat,0.02,1.3157,65,0
fixed_single_exp,mixed_pow_rat,0.1,1.3123,65,0
