selector,target_g,mean_stability,n,n_capped_excluded
fixed_current,0.02,1.0,960,210
fixed_current,0.1,1.0,1020,150
fixed_current,0.5,1.0,1170,0
fixed_richardson,0.02,1.301,960,210
fixed_richardson,0.1,1.2986,1020,150
fixed_richardson,0.5,1.2779,1170,0
fixed_rational,0.02,1.2985,960,210
fixed_rational,0.1,1.3135,1020,150
fixed_rational,0.5,1.3098,1170,0
fixed_single_exp,0.02,1.279,960,210
fixed_single_exp,0.1,1.288,1020,150
fixed_single_exp,0.5,1.2684,1170,0
phase2_cascade,0.02,1.293,960,210
phase2_cascade,0.1,1.3118,1020,150
phase2_cascade,0.5,1.2829,1170,0
enhanced_cascade,0.02,1.2325,960,210
enhanced_cascade,0.1,1.2543,1020,150
enhanced_cascade,0.5,1.2777,1170,0
oracle,0.02,1.3682,960,210
oracle,0.1,1.3728,1020,150
oracle,0.5,1.3715,1170,0
