method,diagnostic,spearman_r,p_value,n
ALL,shift_iqr,0.1819,0.0,75874
current_value,shift_iqr,,,8640
richardson_1,shift_iqr,0.6571,0.0,8640
richardson_a10,shift_iqr,0.7453,0.0,8640
single_exp_fit,shift_iqr,0.4062,0.0,8640
rational_fit,shift_iqr,0.474,0.0,8640
pade_22,shift_iqr,0.3891,0.0,8300
log_linear,shift_iqr,0.7594,0.0,7348
weniger_d2,shift_iqr,,,8392
anderson_1,shift_iqr,,,8634
ALL,perturb_iqr,0.5432,0.0,75854
current_value,perturb_iqr,0.7591,0.0,8640
richardson_1,perturb_iqr,0.4883,0.0,8640
richardson_a10,perturb_iqr,0.4236,0.0,8640
single_exp_fit,perturb_iqr,0.4068,0.0,8640
rational_fit,perturb_iqr,0.4778,0.0,8640
pade_22,perturb_iqr,0.4898,0.0,8281
log_linear,perturb_iqr,0.6785,0.0,7347
weniger_d2,perturb_iqr,0.0513,3e-06,8392
anderson_1,perturb_iqr,0.6581,0.0,8634
