obs_idx,target_g,method,diagnostic,spearman_r,p_value,n,hi_iqr_prec
30,0.1,current_value,shift_iqr,,,900,
30,0.1,current_value,perturb_iqr,0.6036,0.0,900,
30,0.1,richardson_1,shift_iqr,0.5634,0.0,900,0.0
30,0.1,richardson_1,perturb_iqr,0.4527,0.0,900,0.0
30,0.1,richardson_a10,shift_iqr,0.5273,0.0,900,0.0
30,0.1,richardson_a10,perturb_iqr,0.5059,0.0,900,
30,0.1,single_exp_fit,shift_iqr,0.2183,0.0,900,0.0
30,0.1,single_exp_fit,perturb_iqr,0.2698,0.0,900,0.0
30,0.1,rational_fit,shift_iqr,0.4497,0.0,900,0.0
30,0.1,rational_fit,perturb_iqr,0.3859,0.0,900,0.0
30,0.1,pade_22,shift_iqr,0.2163,0.0,866,0.327
30,0.1,pade_22,perturb_iqr,0.3937,0.0,865,0.172
30,0.1,log_linear,shift_iqr,0.636,0.0,887,
30,0.1,log_linear,perturb_iqr,0.5751,0.0,887,
30,0.1,levin_t2,shift_iqr,,,880,
30,0.1,levin_t2,perturb_iqr,0.4838,0.0,880,0.034
30,0.1,anderson_1,shift_iqr,,,899,
30,0.1,anderson_1,perturb_iqr,0.4241,0.0,899,0.115
60,0.1,current_value,shift_iqr,,,960,
60,0.1,current_value,perturb_iqr,0.5827,0.0,960,
60,0.1,richardson_1,shift_iqr,0.6415,0.0,960,
60,0.1,richardson_1,perturb_iqr,0.3583,0.0,960,
60,0.1,richardson_a10,shift_iqr,0.6397,0.0,960,
60,0.1,richardson_a10,perturb_iqr,0.5128,0.0,960,
60,0.1,single_exp_fit,shift_iqr,0.4056,0.0,960,0.0
60,0.1,single_exp_fit,perturb_iqr,0.3584,0.0,960,0.0
60,0.1,rational_fit,shift_iqr,0.5699,0.0,960,0.0
60,0.1,rational_fit,perturb_iqr,0.2365,0.0,960,0.0
60,0.1,pade_22,shift_iqr,0.4652,0.0,948,0.361
60,0.1,pade_22,perturb_iqr,0.4619,0.0,945,0.226
60,0.1,log_linear,shift_iqr,0.6053,0.0,934,
60,0.1,log_linear,perturb_iqr,0.4819,0.0,934,
60,0.1,levin_t2,shift_iqr,,,933,
60,0.1,levin_t2,perturb_iqr,0.4416,0.0,933,0.167
60,0.1,anderson_1,shift_iqr,,,960,
60,0.1,anderson_1,perturb_iqr,0.4407,0.0,960,0.188
90,0.1,current_value,shift_iqr,,,960,
90,0.1,current_value,perturb_iqr,0.5141,0.0,960,
90,0.1,richardson_1,shift_iqr,0.324,0.0,960,0.0
90,0.1,richardson_1,perturb_iqr,0.2954,0.0,960,0.15
90,0.1,richardson_a10,shift_iqr,0.5748,0.0,960,
90,0.1,richardson_a10,perturb_iqr,0.4979,0.0,960,
90,0.1,single_exp_fit,shift_iqr,0.1697,0.0,960,0.143
90,0.1,single_exp_fit,perturb_iqr,0.3388,0.0,960,0.0
90,0.1,rational_fit,shift_iqr,0.3552,0.0,960,0.2
90,0.1,rational_fit,perturb_iqr,0.1319,4.2e-05,960,0.0
90,0.1,pade_22,shift_iqr,0.3968,0.0,898,0.482
90,0.1,pade_22,perturb_iqr,0.5134,0.0,884,0.403
90,0.1,log_linear,shift_iqr,0.5015,0.0,896,1.0
90,0.1,log_linear,perturb_iqr,0.5594,0.0,896,1.0
90,0.1,levin_t2,shift_iqr,,,936,
90,0.1,levin_t2,perturb_iqr,0.4145,0.0,936,0.0
90,0.1,anderson_1,shift_iqr,,,960,
90,0.1,anderson_1,perturb_iqr,0.4295,0.0,960,0.167
120,0.1,current_value,shift_iqr,,,960,
120,0.1,current_value,perturb_iqr,0.4013,0.0,960,
120,0.1,richardson_1,shift_iqr,0.3346,0.0,960,0.0
120,0.1,richardson_1,perturb_iqr,0.17,0.0,960,0.0
120,0.1,richardson_a10,shift_iqr,0.1191,0.000217,960,
120,0.1,richardson_a10,perturb_iqr,0.4403,0.0,960,
120,0.1,single_exp_fit,shift_iqr,0.1875,0.0,960,0.154
120,0.1,single_exp_fit,perturb_iqr,0.4029,0.0,960,0.015
120,0.1,rational_fit,shift_iqr,0.2583,0.0,960,0.071
120,0.1,rational_fit,perturb_iqr,0.2256,0.0,960,0.0
120,0.1,pade_22,shift_iqr,0.439,0.0,941,0.362
120,0.1,pade_22,perturb_iqr,0.3034,0.0,939,0.173
120,0.1,log_linear,shift_iqr,0.3203,0.0,913,
120,0.1,log_linear,perturb_iqr,0.5096,0.0,913,
120,0.1,levin_t2,shift_iqr,,,918,
120,0.1,levin_t2,perturb_iqr,0.3588,0.0,918,0.19
120,0.1,anderson_1,shift_iqr,,,960,
120,0.1,anderson_1,perturb_iqr,0.4095,0.0,960,0.214
