diagnostic,method,threshold,n_fire,n_total,fire_rate,precision,recall,mean_err_saved
perturb_iqr,anderson_1,0.001,6098,8638,0.706,0.012,0.503,0.0015
perturb_iqr,anderson_1,0.002,4737,8638,0.548,0.013,0.427,0.0012
perturb_iqr,anderson_1,0.005,2388,8638,0.276,0.022,0.364,0.0006
perturb_iqr,anderson_1,0.01,1114,8638,0.129,0.039,0.301,-0.0034
perturb_iqr,anderson_1,0.02,460,8638,0.053,0.076,0.245,-0.0216
perturb_iqr,anderson_1,0.05,150,8638,0.017,0.147,0.154,-0.0759
perturb_iqr,anderson_1,0.1,71,8638,0.008,0.211,0.105,-0.1108
perturb_iqr,anderson_1,0.2,27,8638,0.003,0.222,0.042,-0.1554
perturb_iqr,anderson_1,0.5,6,8638,0.001,0.333,0.014,-0.2259
perturb_iqr,anderson_1,1.0,1,8638,0.0,1.0,0.007,-0.4173
perturb_iqr,current_value,0.001,6091,8640,0.705,0.0,,0.0
perturb_iqr,current_value,0.002,4640,8640,0.537,0.0,,0.0
perturb_iqr,current_value,0.005,1796,8640,0.208,0.0,,0.0
perturb_iqr,current_value,0.01,349,8640,0.04,0.0,,0.0
perturb_iqr,current_value,0.02,18,8640,0.002,0.0,,0.0
perturb_iqr,log_linear,0.001,2815,7349,0.383,0.015,0.732,-0.3166
perturb_iqr,log_linear,0.002,1499,7349,0.204,0.027,0.732,-0.7108
perturb_iqr,log_linear,0.005,377,7349,0.051,0.106,0.714,-3.2228
perturb_iqr,log_linear,0.01,112,7349,0.015,0.357,0.714,-11.1293
perturb_iqr,log_linear,0.02,50,7349,0.007,0.8,0.714,-25.1297
perturb_iqr,log_linear,0.05,40,7349,0.005,1.0,0.714,-31.4463
perturb_iqr,log_linear,0.1,38,7349,0.005,1.0,0.679,-31.6356
perturb_iqr,log_linear,0.2,35,7349,0.005,1.0,0.625,-31.5222
perturb_iqr,log_linear,0.5,32,7349,0.004,1.0,0.571,-31.4803
perturb_iqr,log_linear,1.0,15,7349,0.002,1.0,0.268,-32.3358
perturb_iqr,pade_22,0.001,7087,8523,0.832,0.152,0.887,-0.1346
perturb_iqr,pade_22,0.002,6331,8523,0.743,0.155,0.805,-0.1519
perturb_iqr,pade_22,0.005,5180,8523,0.608,0.167,0.711,-0.1905
perturb_iqr,pade_22,0.01,4201,8523,0.493,0.183,0.633,-0.2429
perturb_iqr,pade_22,0.02,3133,8523,0.368,0.214,0.551,-0.33
perturb_iqr,pade_22,0.05,1832,8523,0.215,0.292,0.44,-0.5557
perturb_iqr,pade_22,0.1,1064,8523,0.125,0.391,0.342,-0.9496
perturb_iqr,pade_22,0.2,638,8523,0.075,0.516,0.27,-1.5825
perturb_iqr,pade_22,0.5,349,8523,0.041,0.605,0.173,-2.4233
perturb_iqr,pade_22,1.0,194,8523,0.023,0.593,0.094,-3.2619
perturb_iqr,rational_fit,0.001,4155,8640,0.481,0.002,0.054,0.0989
perturb_iqr,rational_fit,0.002,3412,8640,0.395,0.001,0.016,0.1079
perturb_iqr,rational_fit,0.005,2235,8640,0.259,0.0,0.0,0.1238
perturb_iqr,rational_fit,0.01,1365,8640,0.158,0.0,0.0,0.135
perturb_iqr,rational_fit,0.02,546,8640,0.063,0.0,0.0,0.1484
perturb_iqr,rational_fit,0.05,81,8640,0.009,0.0,0.0,0.1761
perturb_iqr,rational_fit,0.1,7,8640,0.001,0.0,0.0,0.1277
perturb_iqr,richardson_1,0.001,3921,8640,0.454,0.024,0.366,0.0889
perturb_iqr,richardson_1,0.002,2463,8640,0.285,0.026,0.24,0.0837
perturb_iqr,richardson_1,0.005,1008,8640,0.117,0.015,0.057,0.0754
perturb_iqr,richardson_1,0.01,508,8640,0.059,0.0,0.0,0.0785
perturb_iqr,richardson_1,0.02,221,8640,0.026,0.0,0.0,0.0699
perturb_iqr,richardson_1,0.05,34,8640,0.004,0.0,0.0,0.0702
perturb_iqr,richardson_a10,0.001,4461,8640,0.516,0.007,0.125,-0.0039
perturb_iqr,richardson_a10,0.002,1964,8640,0.227,0.002,0.012,0.0122
perturb_iqr,richardson_a10,0.005,179,8640,0.021,0.0,0.0,0.0666
perturb_iqr,richardson_a10,0.01,6,8640,0.001,0.0,0.0,0.1336
perturb_iqr,single_exp_fit,0.001,5189,8640,0.601,0.001,0.056,0.0439
perturb_iqr,single_exp_fit,0.002,4122,8640,0.477,0.001,0.04,0.0535
perturb_iqr,single_exp_fit,0.005,2609,8640,0.302,0.001,0.024,0.0726
