comparison,target_g,mean_improvement,n
threshold_vs_equal_49,0.02,-0.00042,3540
threshold_vs_rational,0.02,-0.06646,3540
capped_diag_vs_equal,0.02,0.008867,3540
diag_vs_equal_49,0.02,0.008867,3540
weighting_gain_9,0.02,0.008973,3540
filter_benefit,0.02,-0.000233,3540
pool_expansion_gain,0.02,-0.014775,3540
threshold_vs_constant_assumed,0.02,-0.012185,3540
rational_vs_window_min,0.02,0.082783,3540
threshold_vs_equal_49,0.1,-0.000321,3780
threshold_vs_rational,0.1,-0.056468,3780
capped_diag_vs_equal,0.1,0.001819,3780
diag_vs_equal_49,0.1,0.001819,3780
weighting_gain_9,0.1,0.002115,3780
filter_benefit,0.1,-0.000234,3780
pool_expansion_gain,0.1,-0.012576,3780
threshold_vs_constant_assumed,0.1,0.011733,3780
rational_vs_window_min,0.1,0.068984,3780
threshold_vs_equal_49,0.5,-0.001122,4320
threshold_vs_rational,0.5,-0.025568,4320
capped_diag_vs_equal,0.5,-0.002578,4320
diag_vs_equal_49,0.5,-0.002578,4320
weighting_gain_9,0.5,-0.000885,4320
filter_benefit,0.5,5e-05,4320
pool_expansion_gain,0.5,-0.00715,4320
threshold_vs_constant_assumed,0.5,0.113141,4320
rational_vs_window_min,0.5,0.031058,4320
