noise,target_g,selector,is_trivial,is_oracle,mean_error,median_error,med_skill,n
0.0,0.02,oracle_51,0,0,0.003744,0.000923,0.0328,1180
0.0,0.02,oracle_9,0,0,0.014873,0.007536,0.3003,1180
0.0,0.02,threshold_ens_010,0,0,0.074801,0.025123,0.9905,1180
0.0,0.02,threshold_ens_050,0,0,0.074853,0.024857,0.9839,1180
0.0,0.02,threshold_ens_safe,0,0,0.074936,0.024857,0.9795,1180
0.0,0.02,capped_diag_51,0,0,0.103478,0.033678,1.5109,1180
0.0,0.02,capped_diag_safe,0,0,0.102019,0.033044,1.4703,1180
0.0,0.02,diag_ensemble_51,0,0,0.103478,0.033678,1.5109,1180
0.0,0.02,diag_ensemble_safe,0,0,0.102019,0.033044,1.4703,1180
0.0,0.02,equal_ensemble_51,0,0,0.073747,0.021694,0.9686,1180
0.0,0.02,equal_ensemble_safe,0,0,0.074936,0.024857,0.9795,1180
0.0,0.02,diag_ensemble_9,0,0,0.075992,0.049886,1.6915,1180
0.0,0.02,equal_ensemble_9,0,0,0.080723,0.037752,1.0863,1180
0.0,0.02,phase2_cascade,0,0,0.067673,0.039192,0.9785,1180
0.0,0.02,fixed_rational,0,0,0.052908,0.031235,1.0909,1180
0.0,0.02,fixed_richardson,0,0,0.073954,0.039192,0.9338,1180
0.0,0.02,current_value,0,0,0.145801,0.131044,2.4131,1180
0.0,0.02,constant_assumed,1,0,0.110434,0.049623,1.0,1180
0.0,0.02,constant_oracle,1,1,0.0025,0.002248,0.0306,1180
0.0,0.02,window_mean,1,0,0.219173,0.194593,4.1001,1180
0.0,0.02,window_min,1,0,0.146313,0.131044,2.7689,1180
0.0,0.02,last_value,1,0,0.145801,0.131044,2.4131,1180
0.0,0.1,oracle_51,0,0,0.0044,0.000356,0.0207,1260
0.0,0.1,oracle_9,0,0,0.01708,0.004934,0.1982,1260
0.0,0.1,threshold_ens_010,0,0,0.066316,0.022083,0.7551,1260
0.0,0.1,threshold_ens_050,0,0,0.06643,0.021984,0.7396,1260
0.0,0.1,threshold_ens_safe,0,0,0.066423,0.021986,0.7396,1260
0.0,0.1,capped_diag_51,0,0,0.094041,0.029093,1.0897,1260
0.0,0.1,capped_diag_safe,0,0,0.092314,0.028554,1.0454,1260
0.0,0.1,diag_ensemble_51,0,0,0.094041,0.029093,1.0897,1260
