target_g,regime_set,selector,is_trivial,is_oracle,mean_error,median_error,med_skill,n
0.02,core,oracle_51,0,0,0.006605,0.002844,0.11,3540
0.02,core,oracle_9,0,0,0.016068,0.008946,0.3895,3540
0.02,core,threshold_ens_010,0,0,0.121085,0.085414,1.8501,3540
0.02,core,threshold_ens_050,0,0,0.120986,0.085438,1.8446,3540
0.02,core,threshold_ens_safe,0,0,0.121007,0.085763,1.8425,3540
0.02,core,capped_diag_51,0,0,0.103163,0.060408,2.1171,3540
0.02,core,capped_diag_safe,0,0,0.100389,0.058283,1.9455,3540
0.02,core,diag_ensemble_51,0,0,0.103163,0.060408,2.1171,3540
0.02,core,diag_ensemble_safe,0,0,0.100389,0.058283,1.9455,3540
0.02,core,equal_ensemble_51,0,0,0.12088,0.082602,1.8355,3540
0.02,core,equal_ensemble_safe,0,0,0.121007,0.085763,1.8425,3540
0.02,core,diag_ensemble_9,0,0,0.076117,0.051456,1.8976,3540
0.02,core,equal_ensemble_9,0,0,0.080211,0.042808,1.241,3540
0.02,core,phase2_cascade,0,0,0.068623,0.039497,1.0664,3540
0.02,core,fixed_rational,0,0,0.056159,0.035603,1.1652,3540
0.02,core,fixed_richardson,0,0,0.074484,0.039415,1.0967,3540
0.02,core,current_value,0,0,0.145971,0.131044,2.618,3540
0.02,core,constant_assumed,1,0,0.110434,0.049623,1.0,3540
0.02,core,constant_oracle,1,1,0.0025,0.002248,0.0373,3540
0.02,core,window_mean,1,0,0.219205,0.194593,4.1813,3540
0.02,core,window_min,1,0,0.138942,0.122107,2.4971,3540
0.02,core,last_value,1,0,0.145971,0.131044,2.618,3540
0.1,core,oracle_51,0,0,0.007153,0.002639,0.0846,3780
0.1,core,oracle_9,0,0,0.018396,0.008256,0.2958,3780
0.1,core,threshold_ens_010,0,0,0.108185,0.069484,1.5476,3780
0.1,core,threshold_ens_050,0,0,0.108152,0.069091,1.5551,3780
0.1,core,threshold_ens_safe,0,0,0.108139,0.069042,1.5503,3780
0.1,core,capped_diag_51,0,0,0.095165,0.05202,1.6121,3780
0.1,core,capped_diag_safe,0,0,0.092347,0.053334,1.499,3780
0.1,core,diag_ensemble_51,0,0,0.095165,0.05202,1.6121,3780
0.1,core,diag_ensemble_safe,0,0,0.092347,0.053334,1.499,3780
0.1,core,equal_ensemble_51,0,0,0.108064,0.068025,1.5379,3780
0.1,core,equal_ensemble_safe,0,0,0.108139,0.069042,1.5503,3780
0.1,core,diag_ensemble_9,0,0,0.070965,0.047842,1.5239,3780
0.1,core,equal_ensemble_9,0,0,0.075281,0.040566,1.073,3780
0.1,core,phase2_cascade,0,0,0.067619,0.038166,1.0,3780
0.1,core,fixed_rational,0,0,0.053127,0.033332,1.0,3780
0.1,core,fixed_richardson,0,0,0.082983,0.037902,1.0027,3780
0.1,core,current_value,0,0,0.132677,0.118499,2.2837,3780
0.1,core,constant_assumed,1,0,0.121328,0.061672,1.0,3780
0.1,core,constant_oracle,1,1,0.013494,0.012386,0.2068,3780
0.1,core,window_mean,1,0,0.199545,0.166977,3.8343,3780
0.1,core,window_min,1,0,0.122111,0.101175,1.8102,3780
0.1,core,last_value,1,0,0.132677,0.118499,2.2837,3780
0.5,core,oracle_51,0,0,0.00558,0.001349,0.0476,4320
0.5,core,oracle_9,0,0,0.017194,0.005874,0.1921,4320
0.5,core,threshold_ens_010,0,0,0.065037,0.048966,1.0621,4320
0.5,core,threshold_ens_050,0,0,0.064959,0.048431,1.062,4320
0.5,core,threshold_ens_safe,0,0,0.064933,0.048191,1.0616,4320
0.5,core,capped_diag_51,0,0,0.05664,0.027706,0.7109,4320
0.5,core,capped_diag_safe,0,0,0.057985,0.028185,0.7352,4320
0.5,core,diag_ensemble_51,0,0,0.05664,0.027706,0.7109,4320
0.5,core,diag_ensemble_safe,0,0,0.057985,0.028185,0.7352,4320
0.5,core,equal_ensemble_51,0,0,0.063385,0.042833,1.0566,4320
0.5,core,equal_ensemble_safe,0,0,0.064933,0.048191,1.0616,4320
0.5,core,diag_ensemble_9,0,0,0.03908,0.024106,0.5408,4320
0.5,core,equal_ensemble_9,0,0,0.046765,0.025884,0.6556,4320
0.5,core,phase2_cascade,0,0,0.05023,0.027094,0.6711,4320
0.5,core,fixed_rational,0,0,0.039375,0.025608,0.5806,4320
0.5,core,fixed_richardson,0,0,0.053939,0.025836,0.6272,4320
0.5,core,current_value,0,0,0.078278,0.071542,1.0298,4320
0.5,core,constant_assumed,1,0,0.178083,0.134537,2.5429,4320
0.5,core,constant_oracle,1,1,0.071244,0.067873,1.009,4320
0.5,core,window_mean,1,0,0.143327,0.114388,2.1474,4320
0.5,core,window_min,1,0,0.070433,0.057893,1.0,4320
0.5,core,last_value,1,0,0.078278,0.071542,1.0298,4320
