obs_idx,target_g,selector,mean_gap_vs_oracle,n
30,0.02,threshold_ens_010,0.198202,900
30,0.02,threshold_ens_safe,0.197982,900
30,0.02,diag_ensemble_49,0.172166,900
30,0.02,equal_ensemble_49,0.19782,900
30,0.02,fixed_rational,0.089994,900
30,0.02,constant_assumed,0.099912,900
30,0.1,threshold_ens_010,0.179015,900
30,0.1,threshold_ens_safe,0.17858,900
30,0.1,diag_ensemble_49,0.16189,900
30,0.1,equal_ensemble_49,0.17829,900
30,0.1,fixed_rational,0.085336,900
30,0.1,constant_assumed,0.117926,900
30,0.5,threshold_ens_010,0.092899,1080
30,0.5,threshold_ens_safe,0.09292,1080
30,0.5,diag_ensemble_49,0.09431,1080
30,0.5,equal_ensemble_49,0.091043,1080
30,0.5,fixed_rational,0.052386,1080
30,0.5,constant_assumed,0.204512,1080
60,0.02,threshold_ens_010,0.124556,900
60,0.02,threshold_ens_safe,0.124475,900
60,0.02,diag_ensemble_49,0.140358,900
60,0.02,equal_ensemble_49,0.123955,900
60,0.02,fixed_rational,0.046734,900
60,0.02,constant_assumed,0.10327,900
60,0.1,threshold_ens_010,0.108104,960
60,0.1,threshold_ens_safe,0.108059,960
60,0.1,diag_ensemble_49,0.128808,960
60,0.1,equal_ensemble_49,0.107701,960
60,0.1,fixed_rational,0.043334,960
60,0.1,constant_assumed,0.115826,960
60,0.5,threshold_ens_010,0.064511,1080
60,0.5,threshold_ens_safe,0.064375,1080
60,0.5,diag_ensemble_49,0.08504,1080
60,0.5,equal_ensemble_49,0.063447,1080
60,0.5,fixed_rational,0.037404,1080
60,0.5,constant_assumed,0.179704,1080
90,0.02,threshold_ens_010,0.077537,900
90,0.02,threshold_ens_safe,0.077192,900
90,0.02,diag_ensemble_49,0.065273,900
90,0.02,equal_ensemble_49,0.076942,900
90,0.02,fixed_rational,0.032676,900
90,0.02,constant_assumed,0.10452,900
90,0.1,threshold_ens_010,0.072367,960
90,0.1,threshold_ens_safe,0.072142,960
90,0.1,diag_ensemble_49,0.073001,960
90,0.1,equal_ensemble_49,0.072067,960
90,0.1,fixed_rational,0.030858,960
90,0.1,constant_assumed,0.111293,960
90,0.5,threshold_ens_010,0.046221,1080
90,0.5,threshold_ens_safe,0.046395,1080
90,0.5,diag_ensemble_49,0.038816,1080
90,0.5,equal_ensemble_49,0.045277,1080
90,0.5,fixed_rational,0.021776,1080
90,0.5,constant_assumed,0.157831,1080
120,0.02,threshold_ens_010,0.058762,840
120,0.02,threshold_ens_safe,0.058472,840
120,0.02,diag_ensemble_49,0.043731,840
120,0.02,equal_ensemble_49,0.058684,840
120,0.02,fixed_rational,0.026064,840
120,0.02,constant_assumed,0.106619,840
120,0.1,threshold_ens_010,0.054499,960
120,0.1,threshold_ens_safe,0.054256,960
120,0.1,diag_ensemble_49,0.040789,960
120,0.1,equal_ensemble_49,0.054619,960
120,0.1,fixed_rational,0.02626,960
120,0.1,constant_assumed,0.111318,960
120,0.5,threshold_ens_010,0.03382,1080
120,0.5,threshold_ens_safe,0.033961,1080
120,0.5,diag_ensemble_49,0.025112,1080
120,0.5,equal_ensemble_49,0.033198,1080
120,0.5,fixed_rational,0.023613,1080
120,0.5,constant_assumed,0.147967,1080
