regime,is_holdout,target_g,n_capped_excluded,selector,is_trivial,is_oracle,mean_error,median_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
broken_power_law,0,0.1,60,oracle_49,0,0,0.01066,0.003267,0.3026,180,0.047,1.0,0.0235,1.0,0.0545,1.0,0.1624,0.6889
broken_power_law,0,0.1,60,oracle_9,0,0,0.024911,0.006744,1.0041,180,0.168,0.8333,0.0605,1.0,0.1053,1.0,1.0041,0.4889
broken_power_law,0,0.1,60,threshold_ens_010,0,0,0.06339,0.065854,2.2776,180,0.5397,0.5611,0.5557,0.8444,0.7873,0.7778,1.3719,0.3611
broken_power_law,0,0.1,60,threshold_ens_050,0,0,0.063332,0.065854,2.2693,180,0.5397,0.5611,0.5557,0.8389,0.7795,0.7778,1.3611,0.3611
broken_power_law,0,0.1,60,threshold_ens_safe,0,0,0.063408,0.06588,2.2776,180,0.5445,0.5556,0.556,0.8389,0.7795,0.7778,1.3611,0.3611
broken_power_law,0,0.1,60,capped_diag_49,0,0,0.111733,0.059586,3.891,180,0.8603,0.5222,0.5166,0.6833,0.6,0.6333,3.4688,0.3611
broken_power_law,0,0.1,60,capped_diag_safe,0,0,0.070779,0.059435,3.0676,180,0.5652,0.5833,0.5141,0.7389,0.5818,0.6389,1.1995,0.4556
broken_power_law,0,0.1,60,diag_ensemble_49,0,0,0.111733,0.059586,3.891,180,0.8603,0.5222,0.5166,0.6833,0.6,0.6333,3.4688,0.3611
broken_power_law,0,0.1,60,diag_ensemble_safe,0,0,0.070779,0.059435,3.0676,180,0.5652,0.5833,0.5141,0.7389,0.5818,0.6389,1.1995,0.4556
broken_power_law,0,0.1,60,equal_ensemble_49,0,0,0.064097,0.067659,2.2817,180,0.5535,0.5611,0.571,0.8222,0.776,0.7722,1.364,0.3056
broken_power_law,0,0.1,60,equal_ensemble_safe,0,0,0.063408,0.06588,2.2776,180,0.5445,0.5556,0.556,0.8389,0.7795,0.7778,1.3611,0.3611
broken_power_law,0,0.1,60,diag_ensemble_9,0,0,0.09234,0.06002,2.7269,180,0.7433,0.5611,0.5616,0.6556,0.5094,0.6667,1.9605,0.4056
broken_power_law,0,0.1,60,equal_ensemble_9,0,0,0.065008,0.07,2.2693,180,0.5709,0.5722,0.6618,0.8778,0.5811,0.6667,1.0828,0.3556
broken_power_law,0,0.1,60,phase2_cascade,0,0,0.053626,0.036762,3.366,180,0.7012,0.7389,0.3372,0.9611,0.5704,0.6444,2.9699,0.3333
broken_power_law,0,0.1,60,fixed_rational,0,0,0.052195,0.045787,1.9277,180,0.3414,0.6722,0.433,0.9556,0.3784,0.6389,1.1946,0.3889
broken_power_law,0,0.1,60,fixed_richardson,0,0,0.290211,0.031159,6.0388,180,0.8646,0.6167,0.2534,0.65,0.5702,0.6556,6.0388,0.3389
broken_power_law,0,0.1,60,current_value,0,0,0.120189,0.118499,6.8875,180,2.5409,0.3056,1.0,0.0,1.6249,0.3111,5.8482,0.0
broken_power_law,0,0.1,60,constant_assumed,1,0,0.12984,0.052405,4.4567,180,1.0,0.0,0.3936,0.6944,0.6905,0.6,4.4567,0.2611
broken_power_law,0,0.1,60,constant_oracle,1,1,0.013455,0.013167,0.7004,180,0.2668,1.0,0.1111,1.0,0.1805,1.0,0.691,0.5278
broken_power_law,0,0.1,60,window_mean,1,0,0.081264,0.072928,5.3894,180,1.4565,0.4,0.6154,0.6889,1.0,0.0,3.2536,0.0056
broken_power_law,0,0.1,60,window_min,1,0,0.038321,0.021115,1.0,180,0.2244,0.7389,0.1715,0.8667,0.3078,0.9944,1.0,0.0
broken_power_law,0,0.1,60,last_value,1,0,0.120189,0.118499,6.8875,180,2.5409,0.3056,1.0,0.0,1.6249,0.3111,5.8482,0.0
broken_power_law,0,0.5,0,oracle_49,0,0,0.006976,0.002701,0.1537,240,0.0217,1.0,0.063,1.0,0.0539,0.8042,0.0721,0.9792
broken_power_law,0,0.5,0,oracle_9,0,0,0.015565,0.01045,0.5524,240,0.0883,1.0,0.2369,0.9708,0.1861,0.7375,0.2448,0.9333
broken_power_law,0,0.5,0,threshold_ens_010,0,0,0.040121,0.050262,2.3663,240,0.2966,0.9875,0.7735,0.7958,0.7968,0.5792,0.9739,0.5708
broken_power_law,0,0.5,0,threshold_ens_050,0,0,0.040219,0.050262,2.3191,240,0.289,0.9833,0.7735,0.7958,0.7968,0.5792,0.9739,0.5542
broken_power_law,0,0.5,0,threshold_ens_safe,0,0,0.040245,0.050262,2.3191,240,0.289,0.9833,0.7741,0.7958,0.7968,0.575,0.9767,0.5417
broken_power_law,0,0.5,0,capped_diag_49,0,0,0.048854,0.034896,2.2549,240,0.2436,0.8667,0.6795,0.6167,0.6765,0.5333,0.9447,0.5333
broken_power_law,0,0.5,0,capped_diag_safe,0,0,0.048232,0.050608,2.7586,240,0.2699,0.9375,0.7722,0.6625,1.8632,0.4958,0.9792,0.5417
broken_power_law,0,0.5,0,diag_ensemble_49,0,0,0.048854,0.034896,2.2549,240,0.2436,0.8667,0.6795,0.6167,0.6765,0.5333,0.9447,0.5333
broken_power_law,0,0.5,0,diag_ensemble_safe,0,0,0.048232,0.050608,2.7586,240,0.2699,0.9375,0.7722,0.6625,1.8632,0.4958,0.9792,0.5417
broken_power_law,0,0.5,0,equal_ensemble_49,0,0,0.040613,0.049284,2.3726,240,0.3031,0.9875,0.76,0.7875,0.9639,0.5667,0.9655,0.5833
broken_power_law,0,0.5,0,equal_ensemble_safe,0,0,0.040245,0.050262,2.3191,240,0.289,0.9833,0.7741,0.7958,0.7968,0.575,0.9767,0.5417
broken_power_law,0,0.5,0,diag_ensemble_9,0,0,0.063909,0.048833,3.5362,240,0.3341,0.8542,0.7256,0.6417,2.1028,0.4875,0.9037,0.5708
broken_power_law,0,0.5,0,equal_ensemble_9,0,0,0.040655,0.047599,2.8134,240,0.3013,0.9958,0.7455,0.8125,1.1247,0.5,0.9781,0.5958
broken_power_law,0,0.5,0,phase2_cascade,0,0,0.041578,0.029161,1.8092,240,0.2597,1.0,0.9088,0.5458,1.0,0.4833,0.9287,0.5208
broken_power_law,0,0.5,0,fixed_rational,0,0,0.031775,0.020273,1.0,240,0.2308,1.0,0.5846,0.8917,1.0,0.4792,0.6361,0.7208
broken_power_law,0,0.5,0,fixed_richardson,0,0,0.114741,0.06803,5.8939,240,0.7163,0.7875,1.2428,0.325,2.8073,0.5,1.4504,0.3
broken_power_law,0,0.5,0,current_value,0,0,0.05453,0.061285,3.2478,240,0.5188,0.9542,1.0,0.0,1.1241,0.4833,1.1809,0.1583
broken_power_law,0,0.5,0,constant_assumed,1,0,0.171361,0.0964,6.3273,240,1.0,0.0,1.9279,0.0458,3.9149,0.2375,2.4288,0.0333
broken_power_law,0,0.5,0,constant_oracle,1,1,0.054977,0.062273,3.1818,240,0.5578,1.0,0.9996,0.6625,1.7554,0.5,1.2116,0.3208
broken_power_law,0,0.5,0,window_mean,1,0,0.046855,0.046742,1.2599,240,0.2554,0.7625,0.8898,0.5167,1.0,0.0,0.8608,0.5
broken_power_law,0,0.5,0,window_min,1,0,0.04692,0.051494,2.2112,240,0.4117,0.9667,0.8468,0.6208,1.4799,0.5,1.0,0.0
broken_power_law,0,0.5,0,last_value,1,0,0.05453,0.061285,3.2478,240,0.5188,0.9542,1.0,0.0,1.1241,0.4833,1.1809,0.1583
damped_osc_pow,0,0.02,60,oracle_49,0,0,0.003084,0.001475,0.0872,180,0.0662,1.0,0.0208,1.0,0.0098,1.0,0.0208,0.9722
damped_osc_pow,0,0.02,60,oracle_9,0,0,0.012828,0.008125,0.4704,180,0.3905,1.0,0.1189,0.9944,0.0638,1.0,0.1503,0.9444
damped_osc_pow,0,0.02,60,threshold_ens_010,0,0,0.059314,0.054406,2.4591,180,2.0716,0.3167,0.9136,0.7611,0.4688,1.0,1.0387,0.4
