method,obs_idx,noise,valid_rate,n,is_trivial,is_oracle,is_dangerous
anderson_1,30,0.0,1.0,1440,0,0,0
anderson_1,30,0.005,1.0,1440,0,0,0
anderson_1,30,0.02,0.9958,1440,0,0,0
anderson_1,60,0.0,1.0,1440,0,0,0
anderson_1,60,0.005,1.0,1440,0,0,0
anderson_1,60,0.02,0.9979,1440,0,0,0
anderson_1,90,0.0,1.0,1440,0,0,0
anderson_1,90,0.005,1.0,1440,0,0,0
anderson_1,90,0.02,1.0,1440,0,0,0
anderson_1,120,0.0,1.0,1440,0,0,0
anderson_1,120,0.005,1.0,1440,0,0,0
anderson_1,120,0.02,1.0,1440,0,0,0
anderson_2,30,0.0,1.0,1440,0,0,0
anderson_2,30,0.005,1.0,1440,0,0,0
anderson_2,30,0.02,1.0,1440,0,0,0
anderson_2,60,0.0,1.0,1440,0,0,0
anderson_2,60,0.005,1.0,1440,0,0,0
anderson_2,60,0.02,1.0,1440,0,0,0
anderson_2,90,0.0,1.0,1440,0,0,0
anderson_2,90,0.005,1.0,1440,0,0,0
anderson_2,90,0.02,1.0,1440,0,0,0
anderson_2,120,0.0,1.0,1440,0,0,0
anderson_2,120,0.005,1.0,1440,0,0,0
anderson_2,120,0.02,1.0,1440,0,0,0
anderson_3,30,0.0,1.0,1440,0,0,0
anderson_3,30,0.005,1.0,1440,0,0,0
anderson_3,30,0.02,1.0,1440,0,0,0
anderson_3,60,0.0,1.0,1440,0,0,0
anderson_3,60,0.005,1.0,1440,0,0,0
anderson_3,60,0.02,1.0,1440,0,0,0
anderson_3,90,0.0,1.0,1440,0,0,0
anderson_3,90,0.005,1.0,1440,0,0,0
anderson_3,90,0.02,1.0,1440,0,0,0
anderson_3,120,0.0,1.0,1440,0,0,0
anderson_3,120,0.005,1.0,1440,0,0,0
anderson_3,120,0.02,1.0,1440,0,0,0
best_shanks_wynn,30,0.0,1.0,1440,0,0,0
best_shanks_wynn,30,0.005,1.0,1440,0,0,0
best_shanks_wynn,30,0.02,1.0,1440,0,0,0
best_shanks_wynn,60,0.0,1.0,1440,0,0,0
best_shanks_wynn,60,0.005,1.0,1440,0,0,0
best_shanks_wynn,60,0.02,1.0,1440,0,0,0
best_shanks_wynn,90,0.0,1.0,1440,0,0,0
best_shanks_wynn,90,0.005,1.0,1440,0,0,0
best_shanks_wynn,90,0.02,1.0,1440,0,0,0
best_shanks_wynn,120,0.0,1.0,1440,0,0,0
best_shanks_wynn,120,0.005,1.0,1440,0,0,0
best_shanks_wynn,120,0.02,1.0,1440,0,0,0
brezinski_theta1,30,0.0,0.9583,1440,0,0,0
brezinski_theta1,30,0.005,1.0,1440,0,0,0
brezinski_theta1,30,0.02,0.9958,1440,0,0,0
brezinski_theta1,60,0.0,0.9583,1440,0,0,0
brezinski_theta1,60,0.005,1.0,1440,0,0,0
brezinski_theta1,60,0.02,0.9979,1440,0,0,0
brezinski_theta1,90,0.0,1.0,1440,0,0,0
brezinski_theta1,90,0.005,1.0,1440,0,0,0
brezinski_theta1,90,0.02,0.9979,1440,0,0,0
brezinski_theta1,120,0.0,0.9583,1440,0,0,0
brezinski_theta1,120,0.005,1.0,1440,0,0,0
brezinski_theta1,120,0.02,1.0,1440,0,0,0
brezinski_theta2,30,0.0,0.9583,1440,0,0,0
brezinski_theta2,30,0.005,0.9958,1440,0,0,0
brezinski_theta2,30,0.02,0.9958,1440,0,0,0
brezinski_theta2,60,0.0,0.9583,1440,0,0,0
brezinski_theta2,60,0.005,1.0,1440,0,0,0
brezinski_theta2,60,0.02,0.9833,1440,0,0,0
brezinski_theta2,90,0.0,0.9583,1440,0,0,0
brezinski_theta2,90,0.005,1.0,1440,0,0,0
brezinski_theta2,90,0.02,0.9917,1440,0,0,0
brezinski_theta2,120,0.0,0.9167,1440,0,0,0
brezinski_theta2,120,0.005,1.0,1440,0,0,0
brezinski_theta2,120,0.02,0.9875,1440,0,0,0
constant_assumed,30,0.0,1.0,1440,1,0,0
constant_assumed,30,0.005,1.0,1440,1,0,0
constant_assumed,30,0.02,1.0,1440,1,0,0
constant_assumed,60,0.0,1.0,1440,1,0,0
constant_assumed,60,0.005,1.0,1440,1,0,0
constant_assumed,60,0.02,1.0,1440,1,0,0
constant_assumed,90,0.0,1.0,1440,1,0,0
constant_assumed,90,0.005,1.0,1440,1,0,0
constant_assumed,90,0.02,1.0,1440,1,0,0
constant_assumed,120,0.0,1.0,1440,1,0,0
constant_assumed,120,0.005,1.0,1440,1,0,0
constant_assumed,120,0.02,1.0,1440,1,0,0
constant_oracle,30,0.0,1.0,1440,1,1,0
constant_oracle,30,0.005,1.0,1440,1,1,0
constant_oracle,30,0.02,1.0,1440,1,1,0
constant_oracle,60,0.0,1.0,1440,1,1,0
constant_oracle,60,0.005,1.0,1440,1,1,0
constant_oracle,60,0.02,1.0,1440,1,1,0
constant_oracle,90,0.0,1.0,1440,1,1,0
constant_oracle,90,0.005,1.0,1440,1,1,0
constant_oracle,90,0.02,1.0,1440,1,1,0
constant_oracle,120,0.0,1.0,1440,1,1,0
constant_oracle,120,0.005,1.0,1440,1,1,0
constant_oracle,120,0.02,1.0,1440,1,1,0
current_value,30,0.0,1.0,1440,0,0,0
current_value,30,0.005,1.0,1440,0,0,0
current_value,30,0.02,1.0,1440,0,0,0
current_value,60,0.0,1.0,1440,0,0,0
current_value,60,0.005,1.0,1440,0,0,0
current_value,60,0.02,1.0,1440,0,0,0
current_value,90,0.0,1.0,1440,0,0,0
current_value,90,0.005,1.0,1440,0,0,0
current_value,90,0.02,1.0,1440,0,0,0
current_value,120,0.0,1.0,1440,0,0,0
current_value,120,0.005,1.0,1440,0,0,0
current_value,120,0.02,1.0,1440,0,0,0
double_exp_fit,30,0.0,1.0,1440,0,0,0
double_exp_fit,30,0.005,1.0,1440,0,0,0
double_exp_fit,30,0.02,1.0,1440,0,0,0
double_exp_fit,60,0.0,1.0,1440,0,0,0
double_exp_fit,60,0.005,1.0,1440,0,0,0
double_exp_fit,60,0.02,1.0,1440,0,0,0
double_exp_fit,90,0.0,0.9792,1440,0,0,0
double_exp_fit,90,0.005,0.9875,1440,0,0,0
double_exp_fit,90,0.02,0.9979,1440,0,0,0
double_exp_fit,120,0.0,0.95,1440,0,0,0
double_exp_fit,120,0.005,0.9688,1440,0,0,0
double_exp_fit,120,0.02,0.9458,1440,0,0,0
geom_avg_diff,30,0.0,0.7833,1440,0,0,1
geom_avg_diff,30,0.005,0.4903,1440,0,0,1
geom_avg_diff,30,0.02,0.4882,1440,0,0,1
