assumed_mode,method,target_g,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
zero,richardson_1,0.5,core,0,1.0,0.0407,0.017347078710072218,0.5229811379648326,1080,0.1518,0.8806,0.3764,0.7741,0.2257,0.8657,0.4346,0.7454
zero,richardson_1,0.5,holdout,0,1.0,0.0083,0.010435954004467899,0.3396741064799345,360,0.103,0.8667,0.2791,0.7861,0.1434,0.9972,0.3119,0.725
zero,richardson_2,0.5,core,0,0.9926,0.0852,0.015849537941788637,0.5498193223935788,1080,0.146,0.8861,0.3913,0.7778,0.216,0.8343,0.4103,0.7491
zero,richardson_2,0.5,holdout,0,0.9889,0.0194,0.009037547115058577,0.3044096692371555,360,0.099,0.8694,0.2596,0.7722,0.1176,0.975,0.2914,0.7222
zero,richardson_3,0.5,core,0,0.9796,0.0806,0.01644277509784272,0.60687494914952,1080,0.1634,0.8778,0.3893,0.7657,0.2153,0.8093,0.4317,0.7352
zero,richardson_3,0.5,holdout,0,0.9806,0.0333,0.009098330859537256,0.2890268652248464,360,0.0962,0.8639,0.2424,0.75,0.112,0.9611,0.2748,0.7056
zero,single_exp_fit,0.5,core,0,1.0,0.0157,0.02139315698241261,0.7697364776706894,1080,0.2099,0.9898,0.4673,0.863,0.3205,0.875,0.4752,0.7759
zero,single_exp_fit,0.5,holdout,0,1.0,0.025,0.014626792451780328,0.6603201554109468,360,0.2088,1.0,0.5525,0.8778,0.1885,0.9806,0.6228,0.775
zero,double_exp_fit,0.5,core,0,0.9852,0.0315,0.017574970372494843,0.6300724370423405,1080,0.1437,0.9833,0.3971,0.85,0.31,0.8806,0.4432,0.7769
zero,double_exp_fit,0.5,holdout,0,1.0,0.0278,0.01298881999560131,0.6554879290633162,360,0.1289,1.0,0.5199,0.875,0.1861,0.9806,0.6,0.7806
zero,rational_fit,0.5,core,0,1.0,0.0222,0.016674500317879988,0.5084787904327598,1080,0.1344,0.9417,0.3184,0.8352,0.2209,0.8528,0.3655,0.7907
zero,rational_fit,0.5,holdout,0,1.0,0.0139,0.006428833815682829,0.3038403153386632,360,0.0698,0.8833,0.203,0.7917,0.0984,0.9889,0.2721,0.7389
zero,log_fit,0.5,core,0,1.0,0.0509,0.03854709136230036,1.009166721656114,1080,0.3003,0.8259,0.7781,0.6176,0.5366,0.9278,0.8838,0.5519
zero,log_fit,0.5,holdout,0,1.0,0.0306,0.03994216434330749,1.5841778367039452,360,0.3822,0.7111,1.0699,0.4833,0.5219,0.9972,1.4446,0.3833
zero,log_linear,0.5,core,0,0.9648,0.1111,0.01453633876520144,0.3999443744095607,1080,0.1129,0.888,0.3112,0.8,0.1712,0.838,0.3484,0.7861
zero,log_linear,0.5,holdout,0,0.975,0.0306,0.010010702582964968,0.44097667648980626,360,0.0997,0.9472,0.3212,0.7722,0.1608,0.9611,0.4206,0.7056
zero,stability_weighted,0.5,core,0,1.0,0.0287,0.04535863954973139,1.122387926380684,1080,0.3482,0.9231,0.9394,0.6083,0.5203,0.8269,1.007,0.4972
zero,stability_weighted,0.5,holdout,0,1.0,0.0167,0.02845556006570925,1.0695121969427013,360,0.2453,0.9361,0.8432,0.6667,0.2949,0.9583,1.0277,0.4806
zero,median_ensemble,0.5,core,0,1.0,0.0139,0.03865195083556373,1.1127053302596839,1080,0.335,0.9463,0.9391,0.6778,0.515,0.8593,1.0232,0.4731
zero,median_ensemble,0.5,holdout,0,1.0,0.0111,0.020324975885894,1.0311225265108157,360,0.2335,0.9611,0.8578,0.7417,0.2805,0.9917,1.0182,0.4833
zero,constant_assumed,0.5,core,0,1.0,0.2528,0.12058549018944457,3.4190562474275943,1080,1.0,0.0,2.0337,0.0843,1.3391,0.3963,2.5808,0.0528
