assumed_mode,method,target_g,noise,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
zero,richardson_1,0.5,0.0,core,0,1.0,0.0194,0.01520040605163325,0.4116894863412872,360,0.125,0.8806,0.2995,0.7694,0.2059,0.8667,0.2896,0.8028
zero,richardson_1,0.5,0.0,holdout,0,1.0,0.0,0.007436790798574948,0.202522060937357,120,0.055,0.8667,0.2025,0.8333,0.0975,1.0,0.2025,0.8333
zero,richardson_2,0.5,0.0,core,0,0.9778,0.0861,0.011803382598312505,0.38381609338113853,360,0.0971,0.8722,0.302,0.7528,0.1815,0.8278,0.243,0.7861
zero,richardson_2,0.5,0.0,holdout,0,0.9667,0.0333,0.005705827021005859,0.18159813284500181,120,0.0575,0.85,0.1816,0.8083,0.0826,0.9667,0.1816,0.8083
zero,richardson_3,0.5,0.0,core,0,0.9583,0.0778,0.010020128125497185,0.3901113016396542,360,0.1003,0.8583,0.3314,0.7528,0.1941,0.7972,0.3028,0.7861
zero,richardson_3,0.5,0.0,holdout,0,0.9417,0.0583,0.0057657996932348465,0.17088830513826544,120,0.0521,0.8333,0.1709,0.7833,0.0793,0.9417,0.1709,0.7833
zero,single_exp_fit,0.5,0.0,core,0,1.0,0.0056,0.020518146546301692,0.6289163513354179,360,0.198,0.9889,0.4673,0.8944,0.2866,0.8917,0.4649,0.8889
zero,single_exp_fit,0.5,0.0,holdout,0,1.0,0.0,0.01261653224304679,0.5525332512970811,120,0.2011,1.0,0.5525,1.0,0.1872,1.0,0.5525,1.0
zero,double_exp_fit,0.5,0.0,core,0,0.9722,0.0333,0.011785944204273112,0.4510040697284518,360,0.1002,0.9722,0.3079,0.8667,0.2857,0.8833,0.2163,0.8611
zero,double_exp_fit,0.5,0.0,holdout,0,1.0,0.0,0.006880035317054237,0.39054565750310233,120,0.06,1.0,0.3905,1.0,0.1775,1.0,0.3905,1.0
zero,rational_fit,0.5,0.0,core,0,1.0,0.0056,0.016586181643208887,0.42208737386903183,360,0.0898,0.9417,0.3079,0.8417,0.1998,0.8472,0.2394,0.8444
zero,rational_fit,0.5,0.0,holdout,0,1.0,0.0,0.004096626686412665,0.09404453352006509,120,0.0412,0.8833,0.094,0.85,0.051,1.0,0.094,0.85
zero,log_fit,0.5,0.0,core,0,1.0,0.0417,0.03854709113758429,0.9435004492006844,360,0.2977,0.825,0.8106,0.6306,0.5348,0.925,0.8475,0.6611
zero,log_fit,0.5,0.0,holdout,0,1.0,0.0,0.03896445855338471,0.9795408029477248,120,0.383,0.7083,0.9795,0.5083,0.5089,1.0,0.9795,0.5083
zero,log_linear,0.5,0.0,core,0,0.9833,0.0889,0.014418608616567255,0.34926565725736214,360,0.1046,0.9028,0.3125,0.8222,0.171,0.8528,0.3073,0.8528
zero,log_linear,0.5,0.0,holdout,0,1.0,0.0,0.009558297271893414,0.3142481982392368,120,0.1007,0.975,0.3142,0.8333,0.1614,1.0,0.3142,0.8333
zero,stability_weighted,0.5,0.0,core,0,1.0,0.0194,0.019114468384478223,0.8501964416077585,360,0.1721,0.95,0.755,0.7556,0.4177,0.875,0.732,0.7889
zero,stability_weighted,0.5,0.0,holdout,0,1.0,0.0,0.018828494184604933,0.47541557470403106,120,0.1541,0.975,0.4754,0.8333,0.2166,1.0,0.4754,0.8333
zero,median_ensemble,0.5,0.0,core,0,1.0,0.0111,0.013201009316560763,0.6603387591756138,360,0.1008,0.9583,0.6351,0.8222,0.3114,0.9,0.524,0.8333
zero,median_ensemble,0.5,0.0,holdout,0,1.0,0.0,0.015003123858113004,0.35032782398006257,120,0.11,1.0,0.3503,1.0,0.1438,1.0,0.3503,1.0
zero,constant_assumed,0.5,0.0,core,0,1.0,0.2528,0.12058549018944457,2.6180746138419426,360,1.0,0.0,1.9892,0.0389,1.3372,0.3972,2.1557,0.0389
zero,constant_assumed,0.5,0.0,holdout,0,1.0,0.3083,0.0981389800117252,2.482642527378368,120,1.0,0.0,2.4826,0.0,1.1699,0.4333,2.4826,0.0
zero,richardson_1,0.1,0.0,core,40,1.0,0.1,0.02973406050813515,0.7849169908083056,320,0.3004,0.7125,0.3708,0.8063,0.2481,0.8438,0.314,0.8438
zero,richardson_1,0.1,0.0,holdout,1,1.0,0.0,0.011298596758316213,0.2690314405559693,119,0.1593,0.7983,0.1652,0.8487,0.1072,1.0,0.1652,0.8487
zero,richardson_2,0.1,0.0,core,40,0.975,0.1062,0.02628213586397979,0.7646398703755231,320,0.2722,0.7,0.3664,0.7719,0.2109,0.8,0.3226,0.8219
zero,richardson_2,0.1,0.0,holdout,1,0.9664,0.0336,0.009894090232186667,0.22441042732197056,119,0.1575,0.7899,0.1427,0.8319,0.0773,0.9664,0.1427,0.8319
zero,richardson_3,0.1,0.0,core,40,0.9531,0.1344,0.01913877732942154,0.7849490056623213,320,0.2445,0.6906,0.3496,0.7469,0.2151,0.7562,0.3236,0.8
zero,richardson_3,0.1,0.0,holdout,1,0.9412,0.0588,0.007570466705398196,0.22443232273180908,119,0.1519,0.7899,0.1367,0.8235,0.0752,0.9412,0.1367,0.8235
zero,single_exp_fit,0.1,0.0,core,40,1.0,0.0094,0.03654881635330192,0.8086864079513926,320,0.4408,0.6562,0.6445,0.9625,0.467,0.9094,0.6644,0.9375
zero,single_exp_fit,0.1,0.0,holdout,1,1.0,0.0,0.030391629899849622,0.810034545073051,119,0.5892,0.6555,0.5748,0.9916,0.306,1.0,0.5748,0.9916
zero,double_exp_fit,0.1,0.0,core,40,0.9688,0.0406,0.02425094204810628,0.6944625883861953,320,0.2936,0.725,0.4298,0.9125,0.3603,0.9031,0.4049,0.8875
zero,double_exp_fit,0.1,0.0,holdout,1,1.0,0.0,0.022208394784907336,0.73611244836683,119,0.3621,0.7647,0.5059,0.9916,0.2874,1.0,0.5059,0.9916
zero,rational_fit,0.1,0.0,core,40,1.0,0.0125,0.02999463684197738,0.7509930885743252,320,0.3202,0.7594,0.2558,0.8625,0.1853,0.8281,0.2501,0.8438
zero,rational_fit,0.1,0.0,holdout,1,1.0,0.0,0.0052710932598704074,0.2127892132329391,119,0.1467,0.7983,0.2079,0.8655,0.1235,1.0,0.2079,0.8655
zero,log_fit,0.1,0.0,core,40,1.0,0.0094,0.06820258295707562,1.849930306911819,320,0.875,0.5219,0.6478,0.6781,0.5361,0.9094,0.6439,0.6625
zero,log_fit,0.1,0.0,holdout,1,1.0,0.0,0.05058042248054173,0.9871371763671836,119,0.5526,0.563,0.9447,0.6218,0.5742,0.9916,0.9447,0.6218
zero,log_linear,0.1,0.0,core,40,0.95,0.1187,0.022358715629838818,0.5779653901404574,320,0.3333,0.7906,0.3243,0.7562,0.2082,0.8,0.2846,0.8063
zero,log_linear,0.1,0.0,holdout,1,1.0,0.0,0.027517507770666652,0.6129776696406832,119,0.3119,0.8571,0.4418,0.8319,0.1918,0.8824,0.4418,0.8319
zero,stability_weighted,0.1,0.0,core,40,1.0,0.0219,0.02383448648823294,0.7787573861175836,320,0.3367,0.7344,0.3614,0.8187,0.2564,0.9187,0.3377,0.8
zero,stability_weighted,0.1,0.0,holdout,1,1.0,0.0,0.013441942179599486,0.37844666831804774,119,0.2796,0.9496,0.2109,0.9916,0.1136,1.0,0.2109,0.9916
zero,median_ensemble,0.1,0.0,core,40,1.0,0.0125,0.02099008298305106,0.7293141868994983,320,0.2686,0.8,0.2168,0.825,0.1555,0.9156,0.1999,0.8125
zero,median_ensemble,0.1,0.0,holdout,1,1.0,0.0,0.00985760404086232,0.2318920762754458,119,0.1818,0.9748,0.1286,1.0,0.0713,1.0,0.1286,1.0
zero,constant_assumed,0.1,0.0,core,40,1.0,0.1906,0.05928920012004124,1.004225945843784,320,1.0,0.0,0.7813,0.5437,0.5442,0.625,0.9897,0.5
zero,constant_assumed,0.1,0.0,holdout,1,1.0,0.1345,0.06244383630449851,1.0,119,1.0,0.0,0.9631,0.521,0.5267,0.6387,0.9631,0.521
zero,richardson_1,0.5,0.005,core,0,1.0,0.0333,0.01766336961873219,0.5019324596305116,360,0.1521,0.8806,0.3797,0.7667,0.2264,0.8667,0.4242,0.7778
zero,richardson_1,0.5,0.005,holdout,0,1.0,0.0,0.01000478147105462,0.37642702396562816,120,0.1012,0.8667,0.287,0.7917,0.147,1.0,0.3764,0.675
zero,richardson_2,0.5,0.005,core,0,1.0,0.075,0.015525624802991835,0.4771005503040528,360,0.1451,0.8944,0.3856,0.7889,0.216,0.8417,0.3841,0.7944
zero,richardson_2,0.5,0.005,holdout,0,1.0,0.0,0.0074347249009913945,0.30160766613594636,120,0.0989,0.8833,0.2488,0.7917,0.1102,0.9917,0.3016,0.7
zero,richardson_3,0.5,0.005,core,0,0.9806,0.0778,0.015623332485270612,0.5332554639264937,360,0.1525,0.8861,0.3877,0.7778,0.2132,0.8083,0.3817,0.7694
zero,richardson_3,0.5,0.005,holdout,0,1.0,0.0083,0.007487613525154046,0.28992145019483884,120,0.0981,0.8833,0.2362,0.7833,0.1066,0.9833,0.2899,0.7
zero,single_exp_fit,0.5,0.005,core,0,1.0,0.0056,0.021064844405674105,0.7552226057223905,360,0.1814,0.9917,0.4778,0.8917,0.3099,0.875,0.4743,0.7917
zero,single_exp_fit,0.5,0.005,holdout,0,1.0,0.0167,0.01384188808109836,0.6596623254866248,120,0.1665,1.0,0.4528,0.9167,0.1731,0.9917,0.6597,0.775
zero,double_exp_fit,0.5,0.005,core,0,0.9861,0.0194,0.018959534575569766,0.5723521624649139,360,0.1549,0.9861,0.3939,0.8694,0.2983,0.875,0.4061,0.8056
zero,double_exp_fit,0.5,0.005,holdout,0,1.0,0.0167,0.0125525765385455,0.6039511799984878,120,0.1199,1.0,0.4327,0.9167,0.1677,0.9917,0.604,0.7833
zero,rational_fit,0.5,0.005,core,0,1.0,0.0194,0.016429306710696527,0.49169808694383865,360,0.1261,0.9417,0.3107,0.85,0.2125,0.8611,0.3427,0.825
zero,rational_fit,0.5,0.005,holdout,0,1.0,0.0,0.00660227480446041,0.3017892717369568,120,0.0731,0.8833,0.2076,0.825,0.1012,0.9917,0.3018,0.7083
zero,log_fit,0.5,0.005,core,0,1.0,0.0417,0.038809387972260564,1.000000405281117,360,0.2988,0.825,0.7722,0.6139,0.5354,0.9306,0.9386,0.5472
zero,log_fit,0.5,0.005,holdout,0,1.0,0.0,0.03931940517290231,1.7307654349202726,120,0.3808,0.7083,1.0857,0.4833,0.5074,1.0,1.7308,0.2917
zero,log_linear,0.5,0.005,core,0,0.9778,0.0972,0.01416466345628295,0.38778723017239813,360,0.1106,0.8972,0.3144,0.8222,0.1716,0.8444,0.3365,0.8083
zero,log_linear,0.5,0.005,holdout,0,1.0,0.0,0.009553734644835471,0.4682205771819735,120,0.1025,0.975,0.3644,0.7917,0.1679,1.0,0.4682,0.6583
zero,stability_weighted,0.5,0.005,core,0,1.0,0.0167,0.05841981428216579,1.1952357937778566,360,0.4665,0.9417,0.989,0.525,0.5808,0.7972,1.0951,0.3361
zero,stability_weighted,0.5,0.005,holdout,0,1.0,0.0083,0.03448536349289415,1.1044569887483304,120,0.3088,0.9667,0.9238,0.6333,0.354,0.975,1.1045,0.35
zero,median_ensemble,0.5,0.005,core,0,1.0,0.0083,0.06739601631707202,1.1449061698260814,360,0.4507,0.9528,0.9891,0.5917,0.6016,0.8278,1.0996,0.2389
