assumed_mode,regime,is_holdout,target_g,noise,n_f,achieved_g,capped,precision,mean_gain,n
zero,single_exp,0,0.5,0.0,108.0,0.4867522559599715,0,,0.0,20
zero,two_exp,0,0.5,0.0,129.0,0.4955914190433955,0,,0.0,20
zero,three_exp,0,0.5,0.0,176.0,0.49876789415554024,0,,0.0,20
zero,four_exp,0,0.5,0.0,231.0,0.4980680166164721,0,,0.0,20
zero,power_law,0,0.5,0.0,244.0,0.4999340482202355,0,0.0,-0.000141,20
zero,rational_decay,0,0.5,0.0,205.0,0.5,0,,0.0,20
zero,mixed_pow_rat,0,0.5,0.0,254.0,0.4990202976120709,0,,0.0,20
zero,multiphase,0,0.5,0.0,504.0,0.49983903719462197,0,,0.0,20
zero,osc_exp,0,0.5,0.0,107.0,0.47832942079368884,0,,0.0,20
zero,damped_osc_pow,0,0.5,0.0,260.0,0.49940767513390516,0,0.0,-0.000126,20
zero,log_slow,0,0.5,0.0,8594.0,0.49999975284240333,0,0.0,-0.001611,20
zero,delayed_plateau,0,0.5,0.0,160.0,0.49658484551706805,0,,0.0,20
zero,staircase,0,0.5,0.0,170.0,0.2777777777777778,0,,0.0,20
zero,noisy_plateau,0,0.5,0.0,104.0,0.4965853037914094,0,0.45,-0.000133,20
zero,slow_osc_power,0,0.5,0.0,415.0,0.49840630355024784,0,,0.0,20
zero,log_oscillatory,0,0.5,0.0,533.0,0.49841524754235217,0,0.0,-0.041076,20
zero,heavy_noise_plat,0,0.5,0.0,97.0,0.49658530379140886,0,0.3,-7.3e-05,20
zero,broken_power_law,0,0.5,0.0,514.0,0.49991211917454004,0,1.0,0.302941,20
zero,stretched_exp,1,0.5,0.0,193.0,0.49828241532615414,0,,0.0,20
zero,logistic_tail,1,0.5,0.0,105.0,0.47748855939048196,0,,0.0,20
zero,inv_sqrt_log,1,0.5,0.0,245.0,0.4997783934707863,0,0.0,-7.8e-05,20
zero,random_knots,1,0.5,0.0,314.5,0.49936083587279756,0,,0.0,20
zero,real_boot_a,1,0.5,0.0,125.0,0.4970613452560541,0,,0.0,20
zero,real_boot_b,1,0.5,0.0,151.0,0.49684018628925675,0,,0.0,20
zero,single_exp,0,0.5,0.005,108.0,0.4867522559599715,0,,0.0,20
zero,two_exp,0,0.5,0.005,129.0,0.4955914190433955,0,,0.0,20
zero,three_exp,0,0.5,0.005,176.0,0.49876789415554024,0,,0.0,20
zero,four_exp,0,0.5,0.005,231.0,0.4980680166164721,0,,0.0,20
zero,power_law,0,0.5,0.005,244.0,0.4999340482202355,0,0.5,0.000315,20
zero,rational_decay,0,0.5,0.005,205.0,0.5,0,,0.0,20
zero,mixed_pow_rat,0,0.5,0.005,254.0,0.4990202976120709,0,,0.0,20
zero,multiphase,0,0.5,0.005,504.0,0.49983903719462197,0,,0.0,20
zero,osc_exp,0,0.5,0.005,107.0,0.47832942079368884,0,,0.0,20
zero,damped_osc_pow,0,0.5,0.005,260.0,0.49940767513390516,0,1.0,7e-06,20
zero,log_slow,0,0.5,0.005,8594.0,0.49999975284240333,0,0.0,-0.001586,20
zero,delayed_plateau,0,0.5,0.005,160.0,0.49658484551706805,0,,0.0,20
zero,staircase,0,0.5,0.005,170.0,0.2777777777777778,0,,0.0,20
zero,noisy_plateau,0,0.5,0.005,104.0,0.4965853037914094,0,0.3,-0.0002,20
zero,slow_osc_power,0,0.5,0.005,415.0,0.49840630355024784,0,,0.0,20
zero,log_oscillatory,0,0.5,0.005,533.0,0.49841524754235217,0,0.0,-0.04146,20
zero,heavy_noise_plat,0,0.5,0.005,97.0,0.49658530379140886,0,0.5,0.000166,20
zero,broken_power_law,0,0.5,0.005,514.0,0.49991211917454004,0,1.0,0.304089,20
zero,stretched_exp,1,0.5,0.005,193.0,0.49828241532615414,0,,0.0,20
zero,logistic_tail,1,0.5,0.005,105.0,0.47748855939048196,0,,0.0,20
zero,inv_sqrt_log,1,0.5,0.005,245.0,0.4997783934707863,0,0.0,-1.3e-05,20
zero,random_knots,1,0.5,0.005,314.5,0.49936083587279756,0,1.0,0.00015,20
zero,real_boot_a,1,0.5,0.005,125.0,0.4970613452560541,0,,0.0,20
zero,real_boot_b,1,0.5,0.005,151.0,0.49684018628925675,0,,0.0,20
zero,single_exp,0,0.5,0.02,108.0,0.4867522559599715,0,,0.0,20
zero,two_exp,0,0.5,0.02,129.0,0.4955914190433955,0,,0.0,20
zero,three_exp,0,0.5,0.02,176.0,0.49876789415554024,0,,0.0,20
zero,four_exp,0,0.5,0.02,231.0,0.4980680166164721,0,,0.0,20
zero,power_law,0,0.5,0.02,244.0,0.4999340482202355,0,0.45,-0.001593,20
zero,rational_decay,0,0.5,0.02,205.0,0.5,0,,0.0,20
zero,mixed_pow_rat,0,0.5,0.02,254.0,0.4990202976120709,0,,0.0,20
zero,multiphase,0,0.5,0.02,504.0,0.49983903719462197,0,,0.0,20
zero,osc_exp,0,0.5,0.02,107.0,0.47832942079368884,0,,0.0,20
zero,damped_osc_pow,0,0.5,0.02,260.0,0.49940767513390516,0,0.5,-0.000859,20
zero,log_slow,0,0.5,0.02,8594.0,0.49999975284240333,0,0.5789,-0.004033,20
zero,delayed_plateau,0,0.5,0.02,160.0,0.49658484551706805,0,,0.0,20
zero,staircase,0,0.5,0.02,170.0,0.2777777777777778,0,,0.0,20
zero,noisy_plateau,0,0.5,0.02,104.0,0.4965853037914094,0,0.45,-0.000154,20
zero,slow_osc_power,0,0.5,0.02,415.0,0.49840630355024784,0,0.2222,-0.005684,20
zero,log_oscillatory,0,0.5,0.02,533.0,0.49841524754235217,0,0.2,-0.046626,20
zero,heavy_noise_plat,0,0.5,0.02,97.0,0.49658530379140886,0,0.55,0.000984,20
zero,broken_power_law,0,0.5,0.02,514.0,0.49991211917454004,0,1.0,0.301635,20
zero,stretched_exp,1,0.5,0.02,193.0,0.49828241532615414,0,,0.0,20
zero,logistic_tail,1,0.5,0.02,105.0,0.47748855939048196,0,,0.0,20
