window_len,target_g,noise,regime_set,n_capped_excluded,fire_rate,precision,recall,mean_gain,n
20,0.5,0.0,core,0,0.2583,0.6344,0.3296,0.024807,360
20,0.5,0.0,holdout,0,0.1833,0.6364,0.175,0.000521,120
20,0.5,0.005,core,0,0.525,0.5926,0.6328,0.020993,360
20,0.5,0.005,holdout,0,0.475,0.6491,0.5606,0.001063,120
20,0.5,0.02,core,0,0.9778,0.608,0.9727,0.028918,360
20,0.5,0.02,holdout,0,0.9833,0.7627,0.989,0.006747,120
20,0.1,0.0,core,40,0.2188,0.5286,0.25,0.002705,320
20,0.1,0.0,holdout,1,0.1849,0.6364,0.1867,0.000602,119
20,0.1,0.005,core,40,0.4688,0.5333,0.5333,-0.001665,320
20,0.1,0.005,holdout,1,0.479,0.6491,0.5781,-0.001255,119
20,0.1,0.02,core,40,0.975,0.5737,0.9624,0.002977,320
20,0.1,0.02,holdout,1,0.9832,0.7265,0.9884,0.012424,119
40,0.5,0.0,core,0,0.2361,0.7059,0.2655,0.013036,360
40,0.5,0.0,holdout,0,0.0417,0.2,0.0154,-1e-05,120
40,0.5,0.005,core,0,0.2694,0.7113,0.3224,0.012982,360
40,0.5,0.005,holdout,0,0.225,0.4444,0.169,-0.000368,120
40,0.5,0.02,core,0,0.65,0.5556,0.6161,0.009646,360
40,0.5,0.02,holdout,0,0.55,0.4242,0.4308,-0.00188,120
40,0.1,0.0,core,40,0.1969,0.6508,0.2278,0.019641,320
40,0.1,0.0,holdout,1,0.042,0.2,0.0128,-7.1e-05,119
40,0.1,0.005,core,40,0.2344,0.64,0.2775,0.019357,320
40,0.1,0.005,holdout,1,0.2269,0.5926,0.2254,-0.001509,119
40,0.1,0.02,core,40,0.6062,0.5309,0.592,0.013897,320
40,0.1,0.02,holdout,1,0.5462,0.4462,0.4394,-0.008391,119
60,0.5,0.0,core,0,0.2333,0.4286,0.1722,0.014438,360
60,0.5,0.0,holdout,0,0.0167,0.0,0.0,-1.3e-05,120
60,0.5,0.005,core,0,0.2333,0.4048,0.1491,0.014738,360
60,0.5,0.005,holdout,0,0.0167,0.5,0.0119,-5.8e-05,120
60,0.5,0.02,core,0,0.4028,0.4897,0.3349,0.013173,360
60,0.5,0.02,holdout,0,0.2583,0.5484,0.2237,-0.000647,120
60,0.1,0.0,core,40,0.1969,0.5397,0.1889,0.045698,320
60,0.1,0.0,holdout,1,0.0168,0.0,0.0,-4.7e-05,119
60,0.1,0.005,core,40,0.1969,0.5238,0.1667,0.045823,320
60,0.1,0.005,holdout,1,0.0168,0.0,0.0,-5.1e-05,119
60,0.1,0.02,core,40,0.3344,0.5701,0.3245,0.043816,320
60,0.1,0.02,holdout,1,0.2605,0.7097,0.2785,-0.002114,119
80,0.5,0.0,core,0,0.1694,0.541,0.1692,0.004866,360
80,0.5,0.0,holdout,0,0.0083,0.0,0.0,-1.4e-05,120
80,0.5,0.005,core,0,0.1639,0.6271,0.1754,0.005313,360
80,0.5,0.005,holdout,0,0.0083,1.0,0.0119,2.7e-05,120
80,0.5,0.02,core,0,0.2028,0.6575,0.2254,0.0052,360
80,0.5,0.02,holdout,0,0.15,0.7778,0.1687,0.000231,120
80,0.1,0.0,core,40,0.1875,0.55,0.2308,0.013872,320
80,0.1,0.0,holdout,1,0.0084,0.0,0.0,-3.5e-05,119
80,0.1,0.005,core,40,0.1812,0.6379,0.2342,0.014825,320
80,0.1,0.005,holdout,1,0.0084,1.0,0.0132,4.1e-05,119
80,0.1,0.02,core,40,0.2094,0.6567,0.2588,0.014653,320
80,0.1,0.02,holdout,1,0.1513,0.6111,0.1358,0.000831,119
100,0.5,0.0,core,0,0.1056,0.9474,0.1538,0.000431,360
100,0.5,0.0,holdout,0,0.0,,0.0,0.0,120
100,0.5,0.005,core,0,0.1083,0.9744,0.1631,0.000438,360
100,0.5,0.005,holdout,0,0.0,,0.0,0.0,120
100,0.5,0.02,core,0,0.1417,0.8431,0.1853,0.000292,360
100,0.5,0.02,holdout,0,0.0083,1.0,0.0104,0.000654,120
100,0.1,0.0,core,40,0.1187,1.0,0.2021,0.000552,320
100,0.1,0.0,holdout,1,0.0,,0.0,0.0,119
100,0.1,0.005,core,40,0.1219,0.9744,0.2088,0.000564,320
100,0.1,0.005,holdout,1,0.0,,0.0,0.0,119
100,0.1,0.02,core,40,0.1562,0.86,0.235,0.000559,320
100,0.1,0.02,holdout,1,0.0084,1.0,0.0123,0.000836,119
