window_len,regime,is_holdout,target_g,noise,n_f,achieved_g,capped,precision,mean_gain,n
20,single_exp,0,0.5,0.0,108.0,0.4867522559599715,0,,0.0,20
20,two_exp,0,0.5,0.0,129.0,0.4955914190433955,0,,0.0,20
20,three_exp,0,0.5,0.0,176.0,0.49876789415554024,0,,0.0,20
20,four_exp,0,0.5,0.0,231.0,0.4980680166164721,0,,0.0,20
20,power_law,0,0.5,0.0,244.0,0.4999340482202355,0,0.0,-6.2e-05,20
20,rational_decay,0,0.5,0.0,205.0,0.5,0,,0.0,20
20,mixed_pow_rat,0,0.5,0.0,254.0,0.4990202976120709,0,,0.0,20
20,multiphase,0,0.5,0.0,504.0,0.49983903719462197,0,,0.0,20
20,osc_exp,0,0.5,0.0,107.0,0.47832942079368884,0,,0.0,20
20,damped_osc_pow,0,0.5,0.0,260.0,0.49940767513390516,0,0.0,-5.8e-05,20
20,log_slow,0,0.5,0.0,8594.0,0.49999975284240333,0,0.0,-0.00412,20
20,delayed_plateau,0,0.5,0.0,160.0,0.49658484551706805,0,,0.0,20
20,staircase,0,0.5,0.0,170.0,0.2777777777777778,0,1.0,0.018223,20
20,noisy_plateau,0,0.5,0.0,104.0,0.4965853037914094,0,0.45,0.000319,20
20,slow_osc_power,0,0.5,0.0,415.0,0.49840630355024784,0,0.0,-0.000754,20
20,log_oscillatory,0,0.5,0.0,533.0,0.49841524754235217,0,1.0,0.433412,20
20,heavy_noise_plat,0,0.5,0.0,97.0,0.49658530379140886,0,0.5,0.00051,20
20,broken_power_law,0,0.5,0.0,514.0,0.49991211917454004,0,0.0,-0.000947,20
20,stretched_exp,1,0.5,0.0,193.0,0.49828241532615414,0,,0.0,20
20,logistic_tail,1,0.5,0.0,105.0,0.47748855939048196,0,1.0,0.003509,20
20,inv_sqrt_log,1,0.5,0.0,245.0,0.4997783934707863,0,0.0,-0.000155,20
20,random_knots,1,0.5,0.0,314.5,0.49936083587279756,0,0.5,-0.000226,20
20,real_boot_a,1,0.5,0.0,125.0,0.4970613452560541,0,,0.0,20
20,real_boot_b,1,0.5,0.0,151.0,0.49684018628925675,0,,0.0,20
20,single_exp,0,0.5,0.005,108.0,0.4867522559599715,0,0.125,-0.000392,20
20,two_exp,0,0.5,0.005,129.0,0.4955914190433955,0,,0.0,20
20,three_exp,0,0.5,0.005,176.0,0.49876789415554024,0,,0.0,20
20,four_exp,0,0.5,0.005,231.0,0.4980680166164721,0,,0.0,20
20,power_law,0,0.5,0.005,244.0,0.4999340482202355,0,0.5789,-0.001281,20
20,rational_decay,0,0.5,0.005,205.0,0.5,0,,0.0,20
20,mixed_pow_rat,0,0.5,0.005,254.0,0.4990202976120709,0,1.0,0.000867,20
20,multiphase,0,0.5,0.005,504.0,0.49983903719462197,0,0.6923,0.002513,20
20,osc_exp,0,0.5,0.005,107.0,0.47832942079368884,0,1.0,4.4e-05,20
20,damped_osc_pow,0,0.5,0.005,260.0,0.49940767513390516,0,0.3889,-0.002444,20
20,log_slow,0,0.5,0.005,8594.0,0.49999975284240333,0,0.4737,-0.052654,20
20,delayed_plateau,0,0.5,0.005,160.0,0.49658484551706805,0,,0.0,20
20,staircase,0,0.5,0.005,170.0,0.2777777777777778,0,1.0,0.018014,20
20,noisy_plateau,0,0.5,0.005,104.0,0.4965853037914094,0,0.4,0.000447,20
20,slow_osc_power,0,0.5,0.005,415.0,0.49840630355024784,0,0.2105,-0.014405,20
20,log_oscillatory,0,0.5,0.005,533.0,0.49841524754235217,0,1.0,0.433273,20
20,heavy_noise_plat,0,0.5,0.005,97.0,0.49658530379140886,0,0.75,0.000981,20
20,broken_power_law,0,0.5,0.005,514.0,0.49991211917454004,0,0.5,-0.007089,20
20,stretched_exp,1,0.5,0.005,193.0,0.49828241532615414,0,,0.0,20
20,logistic_tail,1,0.5,0.005,105.0,0.47748855939048196,0,1.0,0.003944,20
20,inv_sqrt_log,1,0.5,0.005,245.0,0.4997783934707863,0,0.55,0.000477,20
20,random_knots,1,0.5,0.005,314.5,0.49936083587279756,0,0.5,0.00201,20
20,real_boot_a,1,0.5,0.005,125.0,0.4970613452560541,0,0.5556,-5e-05,20
20,real_boot_b,1,0.5,0.005,151.0,0.49684018628925675,0,,0.0,20
20,single_exp,0,0.5,0.02,108.0,0.4867522559599715,0,0.3,-0.00099,20
20,two_exp,0,0.5,0.02,129.0,0.4955914190433955,0,0.6316,0.000175,20
20,three_exp,0,0.5,0.02,176.0,0.49876789415554024,0,0.7,0.001289,20
20,four_exp,0,0.5,0.02,231.0,0.4980680166164721,0,0.35,-0.00526,20
20,power_law,0,0.5,0.02,244.0,0.4999340482202355,0,0.75,0.009664,20
20,rational_decay,0,0.5,0.02,205.0,0.5,0,0.2632,-0.008537,20
20,mixed_pow_rat,0,0.5,0.02,254.0,0.4990202976120709,0,0.45,-0.005789,20
20,multiphase,0,0.5,0.02,504.0,0.49983903719462197,0,0.6,0.006545,20
20,osc_exp,0,0.5,0.02,107.0,0.47832942079368884,0,0.55,-4e-06,20
20,damped_osc_pow,0,0.5,0.02,260.0,0.49940767513390516,0,0.65,0.001287,20
20,log_slow,0,0.5,0.02,8594.0,0.49999975284240333,0,0.5,0.023029,20
20,delayed_plateau,0,0.5,0.02,160.0,0.49658484551706805,0,0.8571,0.009439,20
20,staircase,0,0.5,0.02,170.0,0.2777777777777778,0,1.0,0.015682,20
20,noisy_plateau,0,0.5,0.02,104.0,0.4965853037914094,0,0.55,0.000731,20
20,slow_osc_power,0,0.5,0.02,415.0,0.49840630355024784,0,0.7,0.009141,20
20,log_oscillatory,0,0.5,0.02,533.0,0.49841524754235217,0,1.0,0.458147,20
20,heavy_noise_plat,0,0.5,0.02,97.0,0.49658530379140886,0,0.45,0.001762,20
20,broken_power_law,0,0.5,0.02,514.0,0.49991211917454004,0,0.7,0.004215,20
20,stretched_exp,1,0.5,0.02,193.0,0.49828241532615414,0,0.7368,0.006811,20
20,logistic_tail,1,0.5,0.02,105.0,0.47748855939048196,0,1.0,0.007376,20
20,inv_sqrt_log,1,0.5,0.02,245.0,0.4997783934707863,0,0.55,0.007974,20
20,random_knots,1,0.5,0.02,314.5,0.49936083587279756,0,0.8,0.016054,20
20,real_boot_a,1,0.5,0.02,125.0,0.4970613452560541,0,0.6,-0.001168,20
20,real_boot_b,1,0.5,0.02,151.0,0.49684018628925675,0,0.9,0.003432,20
20,single_exp,0,0.1,0.0,148.0,0.09827358560436156,0,,0.0,20
20,two_exp,0,0.1,0.0,218.0,0.09985826346226055,0,,0.0,20
20,three_exp,0,0.1,0.0,377.0,0.09988829507506856,0,,0.0,20
20,four_exp,0,0.1,0.0,631.0,0.09977805552230239,0,,0.0,20
20,power_law,0,0.1,0.0,2441.0,0.09997859122064488,0,0.0,-0.000391,20
20,rational_decay,0,0.1,0.0,1125.0,0.09999999999999999,0,,0.0,20
20,mixed_pow_rat,0,0.1,0.0,2260.0,0.09998848741275486,0,,0.0,20
20,multiphase,0,0.1,0.0,3852.0,0.0999996544626016,0,,0.0,20
20,osc_exp,0,0.1,0.0,165.0,0.09570953042125925,0,,0.0,20
20,damped_osc_pow,0,0.1,0.0,3014.0,0.09999319502597674,0,0.0,-0.000342,20
20,log_slow,0,0.1,0.0,50000.0,0.41863546463489004,1,0.0,-0.005154,20
20,delayed_plateau,0,0.1,0.0,321.0,0.09926115995627992,0,,0.0,20
20,staircase,0,0.1,0.0,320.0,0.0,0,1.0,0.048212,20
20,noisy_plateau,0,0.1,0.0,137.0,0.09536916221554956,0,0.35,0.000387,20
20,slow_osc_power,0,0.1,0.0,3483.0,0.09996889692898078,0,0.0,-0.001275,20
20,log_oscillatory,0,0.1,0.0,50000.0,0.2992564263745022,1,1.0,1.079625,20
20,heavy_noise_plat,0,0.1,0.0,114.0,0.09071795328941246,0,0.5,0.001049,20
20,broken_power_law,0,0.1,0.0,28776.0,0.09999962012267244,0,0.0,-0.004361,20
20,stretched_exp,1,0.1,0.0,579.0,0.09979846505939677,0,,0.0,20
20,logistic_tail,1,0.1,0.0,135.0,0.09609894819901184,0,1.0,0.005917,20
20,inv_sqrt_log,1,0.1,0.0,2929.0,0.09999046875803731,0,0.0,-0.000805,20
20,random_knots,1,0.1,0.0,4730.0,0.09999546250252596,1,0.5,-0.001528,20
20,real_boot_a,1,0.1,0.0,209.0,0.09859818176108498,0,,0.0,20
20,real_boot_b,1,0.1,0.0,335.0,0.09918842288666796,0,,0.0,20
20,single_exp,0,0.1,0.005,148.0,0.09827358560436156,0,0.0,-0.000969,20
20,two_exp,0,0.1,0.005,218.0,0.09985826346226055,0,,0.0,20
20,three_exp,0,0.1,0.005,377.0,0.09988829507506856,0,,0.0,20
