cat_mult,regime,is_holdout,target_g,capped_cells_excluded,champion,stability,is_dangerous
2.0,single_exp,0,0.5,0,single_exp_fit,1.34,0
2.0,two_exp,0,0.5,0,single_exp_fit,1.4,0
2.0,three_exp,0,0.5,0,pade_12,1.4,0
2.0,four_exp,0,0.5,0,log_linear,1.4,0
2.0,power_law,0,0.5,0,richardson_a05,1.3467,0
2.0,rational_decay,0,0.5,0,richardson_a05,1.4,0
2.0,mixed_pow_rat,0,0.5,0,richardson_a05,1.4,0
2.0,multiphase,0,0.5,0,log_linear,1.4,0
2.0,osc_exp,0,0.5,0,richardson_a10,1.3933,0
2.0,damped_osc_pow,0,0.5,0,richardson_2,1.36,0
2.0,log_slow,0,0.5,0,log_fit,1.4,0
2.0,delayed_plateau,0,0.5,0,single_exp_fit,1.4,0
2.0,staircase,0,0.5,0,double_exp_fit,1.4,0
2.0,noisy_plateau,0,0.5,0,richardson_a20,1.1933,0
2.0,slow_osc_power,0,0.5,0,richardson_a20,1.2533,0
2.0,log_oscillatory,0,0.5,0,log_linear,1.4,0
2.0,heavy_noise_plat,0,0.5,0,window_mean,1.26,0
2.0,broken_power_law,0,0.5,0,pade_11,1.4,0
2.0,stretched_exp,1,0.5,0,rational_fit,1.4,0
2.0,logistic_tail,1,0.5,0,richardson_a05,1.3267,0
2.0,inv_sqrt_log,1,0.5,0,richardson_a10,1.3867,0
2.0,random_knots,1,0.5,0,richardson_a10,1.3067,0
2.0,real_boot_a,1,0.5,0,richardson_a10,1.3467,0
2.0,real_boot_b,1,0.5,0,rational_fit,1.4,0
2.0,single_exp,0,0.1,0,single_exp_fit,1.2333,0
2.0,two_exp,0,0.1,0,richardson_a05,1.4,0
2.0,three_exp,0,0.1,0,richardson_2,1.4,0
2.0,four_exp,0,0.1,0,log_linear,1.4,0
2.0,power_law,0,0.1,0,richardson_a10,1.2933,0
2.0,rational_decay,0,0.1,0,rational_fit,1.4,0
2.0,mixed_pow_rat,0,0.1,0,richardson_a05,1.4,0
2.0,multiphase,0,0.1,0,log_linear,1.4,0
2.0,osc_exp,0,0.1,0,richardson_3,1.3867,0
2.0,damped_osc_pow,0,0.1,0,richardson_a05,1.3467,0
2.0,delayed_plateau,0,0.1,0,single_exp_fit,1.4,0
2.0,staircase,0,0.1,0,richardson_a05,1.4,0
2.0,noisy_plateau,0,0.1,0,richardson_a20,1.16,0
2.0,slow_osc_power,0,0.1,0,richardson_a20,1.2933,0
2.0,heavy_noise_plat,0,0.1,0,window_mean,1.26,0
2.0,broken_power_law,0,0.1,0,window_min,1.4,0
2.0,stretched_exp,1,0.1,0,rational_fit,1.4,0
2.0,logistic_tail,1,0.1,0,richardson_a05,1.4,0
2.0,inv_sqrt_log,1,0.1,0,richardson_a10,1.3,0
2.0,random_knots,1,0.1,159,log_fit,1.3579,0
2.0,real_boot_a,1,0.1,0,richardson_a10,1.4,0
2.0,real_boot_b,1,0.1,0,rational_fit,1.4,0
5.0,single_exp,0,0.5,0,single_exp_fit,1.3733,0
5.0,two_exp,0,0.5,0,single_exp_fit,1.4,0
5.0,three_exp,0,0.5,0,pade_12,1.4,0
5.0,four_exp,0,0.5,0,log_linear,1.4,0
5.0,power_law,0,0.5,0,richardson_a05,1.3467,0
5.0,rational_decay,0,0.5,0,richardson_a05,1.4,0
5.0,mixed_pow_rat,0,0.5,0,richardson_a05,1.4,0
5.0,multiphase,0,0.5,0,log_linear,1.4,0
5.0,osc_exp,0,0.5,0,richardson_a10,1.3933,0
5.0,damped_osc_pow,0,0.5,0,richardson_a05,1.3867,0
5.0,log_slow,0,0.5,0,log_fit,1.4,0
5.0,delayed_plateau,0,0.5,0,single_exp_fit,1.4,0
5.0,staircase,0,0.5,0,double_exp_fit,1.4,0
5.0,noisy_plateau,0,0.5,0,richardson_a20,1.2267,0
5.0,slow_osc_power,0,0.5,0,richardson_a20,1.2533,0
5.0,log_oscillatory,0,0.5,0,log_linear,1.4,0
5.0,heavy_noise_plat,0,0.5,0,window_mean,1.2933,0
5.0,broken_power_law,0,0.5,0,pade_11,1.4,0
5.0,stretched_exp,1,0.5,0,rational_fit,1.4,0
5.0,logistic_tail,1,0.5,0,richardson_a05,1.36,0
5.0,inv_sqrt_log,1,0.5,0,richardson_a10,1.3867,0
5.0,random_knots,1,0.5,0,richardson_a10,1.34,0
5.0,real_boot_a,1,0.5,0,richardson_a10,1.38,0
5.0,real_boot_b,1,0.5,0,rational_fit,1.4,0
5.0,single_exp,0,0.1,0,richardson_a20,1.3467,0
5.0,two_exp,0,0.1,0,richardson_a05,1.4,0
5.0,three_exp,0,0.1,0,richardson_2,1.4,0
5.0,four_exp,0,0.1,0,log_linear,1.4,0
5.0,power_law,0,0.1,0,richardson_a10,1.3267,0
5.0,rational_decay,0,0.1,0,rational_fit,1.4,0
5.0,mixed_pow_rat,0,0.1,0,richardson_a05,1.4,0
5.0,multiphase,0,0.1,0,log_linear,1.4,0
5.0,osc_exp,0,0.1,0,richardson_3,1.3867,0
5.0,damped_osc_pow,0,0.1,0,richardson_1,1.3467,0
5.0,delayed_plateau,0,0.1,0,single_exp_fit,1.4,0
5.0,staircase,0,0.1,0,richardson_a05,1.4,0
5.0,noisy_plateau,0,0.1,0,richardson_a20,1.2267,0
5.0,slow_osc_power,0,0.1,0,richardson_a10,1.3733,0
5.0,heavy_noise_plat,0,0.1,0,window_mean,1.2933,0
5.0,broken_power_law,0,0.1,0,window_min,1.4,0
5.0,stretched_exp,1,0.1,0,rational_fit,1.4,0
5.0,logistic_tail,1,0.1,0,richardson_a05,1.4,0
5.0,inv_sqrt_log,1,0.1,0,richardson_a10,1.3333,0
5.0,random_knots,1,0.1,159,richardson_1,1.3719,0
5.0,real_boot_a,1,0.1,0,richardson_a10,1.4,0
5.0,real_boot_b,1,0.1,0,rational_fit,1.4,0
10.0,single_exp,0,0.5,0,single_exp_fit,1.3733,0
10.0,two_exp,0,0.5,0,single_exp_fit,1.4,0
10.0,three_exp,0,0.5,0,pade_12,1.4,0
10.0,four_exp,0,0.5,0,log_linear,1.4,0
10.0,power_law,0,0.5,0,richardson_a05,1.3467,0
10.0,rational_decay,0,0.5,0,richardson_a05,1.4,0
10.0,mixed_pow_rat,0,0.5,0,richardson_a05,1.4,0
10.0,multiphase,0,0.5,0,log_linear,1.4,0
10.0,osc_exp,0,0.5,0,richardson_a10,1.3933,0
10.0,damped_osc_pow,0,0.5,0,richardson_1,1.3867,0
10.0,log_slow,0,0.5,0,log_fit,1.4,0
10.0,delayed_plateau,0,0.5,0,single_exp_fit,1.4,0
10.0,staircase,0,0.5,0,double_exp_fit,1.4,0
10.0,noisy_plateau,0,0.5,0,richardson_a20,1.2933,0
10.0,slow_osc_power,0,0.5,0,richardson_a20,1.32,0
10.0,log_oscillatory,0,0.5,0,log_linear,1.4,0
10.0,heavy_noise_plat,0,0.5,0,pade_11,1.3467,0
10.0,broken_power_law,0,0.5,0,pade_11,1.4,0
10.0,stretched_exp,1,0.5,0,rational_fit,1.4,0
10.0,logistic_tail,1,0.5,0,richardson_a05,1.36,0
10.0,inv_sqrt_log,1,0.5,0,richardson_a10,1.3867,0
10.0,random_knots,1,0.5,0,richardson_1,1.36,0
10.0,real_boot_a,1,0.5,0,richardson_a10,1.38,0
10.0,real_boot_b,1,0.5,0,rational_fit,1.4,0
10.0,single_exp,0,0.1,0,single_exp_fit,1.3667,0
10.0,two_exp,0,0.1,0,richardson_a05,1.4,0
10.0,three_exp,0,0.1,0,richardson_2,1.4,0
10.0,four_exp,0,0.1,0,log_linear,1.4,0
10.0,power_law,0,0.1,0,richardson_a10,1.3267,0
10.0,rational_decay,0,0.1,0,rational_fit,1.4,0
10.0,mixed_pow_rat,0,0.1,0,richardson_a05,1.4,0
10.0,multiphase,0,0.1,0,log_linear,1.4,0
10.0,osc_exp,0,0.1,0,richardson_3,1.3867,0
10.0,damped_osc_pow,0,0.1,0,richardson_1,1.3467,0
10.0,delayed_plateau,0,0.1,0,single_exp_fit,1.4,0
10.0,staircase,0,0.1,0,richardson_a05,1.4,0
10.0,noisy_plateau,0,0.1,0,richardson_a20,1.26,0
10.0,slow_osc_power,0,0.1,0,richardson_a10,1.3733,0
10.0,heavy_noise_plat,0,0.1,0,pade_11,1.34,0
10.0,broken_power_law,0,0.1,0,window_min,1.4,0
10.0,stretched_exp,1,0.1,0,rational_fit,1.4,0
10.0,logistic_tail,1,0.1,0,richardson_a05,1.4,0
10.0,inv_sqrt_log,1,0.1,0,richardson_a10,1.3667,0
10.0,random_knots,1,0.1,159,richardson_a05,1.386,0
10.0,real_boot_a,1,0.1,0,richardson_a10,1.4,0
10.0,real_boot_b,1,0.1,0,rational_fit,1.4,0
