cat_mult,target_g,method,is_trivial,stability,valid_rate,cat_rate,beats_rate,med_error,n_cells,rank,rank_eligible
2.0,0.1,single_exp_fit,0,1.3096,1.0,0.0292,0.9198,0.037784698550021395,960,1.0,1
2.0,0.1,richardson_a10,0,1.2479,1.0,0.0427,0.8333,0.055688288756547064,960,2.0,1
2.0,0.1,double_exp_fit,0,1.2271,0.9833,0.0542,0.8802,0.026511585234769788,960,3.0,1
2.0,0.1,richardson_a20,0,1.2004,1.0,0.0292,0.6469,0.11065781010201974,960,4.0,1
2.0,0.1,rational_fit,0,1.1946,1.0,0.0729,0.851,0.028951976807075792,960,5.0,1
2.0,0.1,median_ensemble,0,1.1942,1.0,0.0385,0.6781,0.04567272967426278,960,6.0,1
2.0,0.1,anderson_2,0,1.1533,1.0,0.0396,0.5813,0.09955830152441233,960,7.0,1
2.0,0.1,anderson_3,0,1.1504,1.0,0.0406,0.5792,0.10026480987500284,960,8.0,1
2.0,0.1,stability_weighted,0,1.1446,1.0,0.0594,0.6583,0.04539420844156003,960,9.0,1
2.0,0.1,best_shanks_wynn,0,1.0908,1.0,0.0688,0.5708,0.06742148694409539,960,10.0,1
2.0,0.1,anderson_1,0,1.0902,0.999,0.0688,0.5719,0.10159851262879356,960,11.0,1
2.0,0.1,shanks_1,0,1.0846,0.9979,0.0708,0.5708,0.0674214869440786,960,12.0,1
2.0,0.1,shanks_2,0,1.0477,0.999,0.0729,0.4865,0.047435414555039024,960,13.0,1
2.0,0.1,richardson_1,0,1.0404,1.0,0.1396,0.799,0.03087414076584394,960,14.0,1
2.0,0.1,log_fit,0,1.0242,1.0,0.1229,0.675,0.06840894978271762,960,15.0,1
2.0,0.1,levin_t1,0,1.0148,0.974,0.0938,0.5708,0.0674214869438855,960,16.0,1
2.0,0.1,wynn_eps_1,0,1.0148,0.974,0.0938,0.5708,0.06742148694388728,960,17.0,1
2.0,0.1,levin_t2,0,1.0035,0.974,0.0958,0.5531,0.048316815107558295,960,18.0,1
2.0,0.1,window_min,1,1.0017,1.0,0.0896,0.4521,0.05259711602844527,960,19.0,1
2.0,0.1,current_value,0,1.0,1.0,0.0,0.0,0.0975168572344656,960,20.0,1
2.0,0.1,last_value,1,1.0,1.0,0.0,0.0,0.0975168572344656,960,21.0,1
2.0,0.1,richardson_2,0,0.9883,0.9917,0.1573,0.7781,0.02628213606821013,960,22.0,1
2.0,0.1,shanks_3,0,0.9771,0.9979,0.1042,0.4688,0.04746239735406883,960,23.0,1
2.0,0.1,shanks_4,0,0.9729,0.9771,0.0948,0.4635,0.047462307685908395,960,24.0,1
2.0,0.1,levin_v2,0,0.9727,0.974,0.1021,0.5073,0.05242506523743559,960,25.0,1
2.0,0.1,brezinski_theta1,0,0.9585,0.999,0.1281,0.5396,0.0665955640713247,960,26.0,1
2.0,0.1,wynn_rho_1,0,0.9542,0.9729,0.1031,0.4688,0.05765713722733934,960,27.0,1
2.0,0.1,wynn_eps_2,0,0.946,0.9594,0.1083,0.5083,0.047326072822672594,960,28.0,1
2.0,0.1,levin_u2,0,0.9433,0.975,0.1177,0.5094,0.050314162975237525,960,29.0,1
2.0,0.1,levin_v1,0,0.9312,0.975,0.1187,0.4844,0.047881761751410595,960,30.0,1
2.0,0.1,richardson_3,0,0.9162,0.9771,0.1812,0.7542,0.02243325194943038,960,31.0,1
2.0,0.1,wynn_eps_3,0,0.9123,0.951,0.1187,0.4969,0.044507310596098096,960,32.0,1
2.0,0.1,wynn_rho_2,0,0.8927,0.9719,0.126,0.4323,0.07001839089045847,960,33.0,1
2.0,0.1,levin_u1,0,0.8923,0.976,0.1354,0.4677,0.08634953813350499,960,34.0,1
2.0,0.1,richardson_a05,0,0.8842,1.0,0.201,0.7156,0.037755495334700254,960,35.0,1
