cat_mult,target_g,method,is_trivial,valid_rate,cat_rate,stability,med_error,n_cells
2.0,0.1,pade_31,0,0.8479,0.8542,-0.8108,1.1710506885481102,960
2.0,0.1,neville_2,0,0.6135,0.7698,-0.834,1.1006027327511256,960
2.0,0.1,geom_avg_diff,0,0.5844,0.5156,-0.2969,0.06375877964697974,960
2.0,0.1,pade_32,0,0.5448,0.7469,-0.8627,0.08274654727440695,960
2.0,0.1,pade_21,0,0.5219,0.8042,-1.0327,0.14716391840215928,960
2.0,0.1,linear,0,0.4448,0.9146,-1.3598,0.28267934067076256,960
2.0,0.1,neville_3,0,0.401,0.7708,-1.049,0.0425985369616437,960
2.0,0.1,neville_4,0,0.3135,0.7708,-1.1365,0.012545957570098229,960
5.0,0.1,pade_31,0,0.8479,0.7688,-0.64,1.1710506885481102,960
5.0,0.1,neville_2,0,0.6135,0.724,-0.7423,1.1006027327511256,960
5.0,0.1,geom_avg_diff,0,0.5844,0.4688,-0.2031,0.06375877964697974,960
5.0,0.1,pade_32,0,0.5448,0.6813,-0.7315,0.08274654727440695,960
5.0,0.1,pade_21,0,0.5219,0.6656,-0.7556,0.14716391840215928,960
5.0,0.1,linear,0,0.4448,0.7552,-1.041,0.28267934067076256,960
5.0,0.1,neville_3,0,0.401,0.7708,-1.049,0.0425985369616437,960
5.0,0.1,neville_4,0,0.3135,0.75,-1.0948,0.012545957570098229,960
10.0,0.1,pade_31,0,0.8479,0.7063,-0.515,1.1710506885481102,960
10.0,0.1,neville_2,0,0.6135,0.7219,-0.7381,1.1006027327511256,960
10.0,0.1,geom_avg_diff,0,0.5844,0.449,-0.1635,0.06375877964697974,960
10.0,0.1,pade_32,0,0.5448,0.6167,-0.6023,0.08274654727440695,960
10.0,0.1,pade_21,0,0.5219,0.6135,-0.6515,0.14716391840215928,960
10.0,0.1,linear,0,0.4448,0.674,-0.8785,0.28267934067076256,960
10.0,0.1,neville_3,0,0.401,0.75,-1.0073,0.0425985369616437,960
10.0,0.1,neville_4,0,0.3135,0.7292,-1.0531,0.012545957570098229,960
2.0,0.5,pade_31,0,0.8861,0.6787,-0.3665,0.1326961010630257,1080
2.0,0.5,neville_2,0,0.6454,0.7565,-0.7709,0.33528576272569066,1080
2.0,0.5,geom_avg_diff,0,0.5769,0.5398,-0.3606,0.02700054189156556,1080
2.0,0.5,neville_3,0,0.4685,0.7583,-0.9519,0.033820586796434016,1080
2.0,0.5,neville_4,0,0.3694,0.7593,-1.0528,0.004857394563706929,1080
5.0,0.5,pade_31,0,0.8861,0.5241,-0.0572,0.1326961010630257,1080
5.0,0.5,neville_2,0,0.6454,0.7343,-0.7265,0.33528576272569066,1080
5.0,0.5,geom_avg_diff,0,0.5769,0.4843,-0.2494,0.02700054189156556,1080
5.0,0.5,neville_3,0,0.4685,0.7583,-0.9519,0.033820586796434016,1080
5.0,0.5,neville_4,0,0.3694,0.7407,-1.0157,0.004857394563706929,1080
10.0,0.5,pade_31,0,0.8861,0.3343,0.3224,0.1326961010630257,1080
10.0,0.5,neville_2,0,0.6454,0.7231,-0.7043,0.33528576272569066,1080
10.0,0.5,geom_avg_diff,0,0.5769,0.4546,-0.1902,0.02700054189156556,1080
10.0,0.5,neville_3,0,0.4685,0.738,-0.9111,0.033820586796434016,1080
10.0,0.5,neville_4,0,0.3694,0.7407,-1.0157,0.004857394563706929,1080
