dataset,obs_depth,true_final,current_val,predicted_val,cascade_err,current_err,selected_method,nearest_regime,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv
covertype,30,0.3504083900729998,0.6759690472812452,0.4567499595728642,0.1063415694998644,0.3255606572082454,richardson_1,multiphase,-0.17605003786071613,0.004225320277683774,0.0,6.101620496403528e-06,0.9355807801032276,0.007897758110542554
covertype,60,0.3504083900729998,0.5607630650767347,0.39486718096160195,0.04445879088860216,0.2103546750037349,richardson_1,multiphase,-0.21448526556011224,0.0019794401150079735,0.0,3.485553154976077e-06,0.9417556444730317,0.008169526568627825
covertype,90,0.3504083900729998,0.5113690859815975,0.38892359600489723,0.038515205931897445,0.16096069590859768,richardson_1,multiphase,-0.25927559867224675,0.0015901880329107672,0.0,1.2320161544476504e-07,0.9980902102048159,0.0018585294712625308
higgs,30,0.5294621414374698,0.5886031535398528,0.5110316301193445,0.018430511318125342,0.059141012102382984,rational_fit,multiphase,-0.05120792349999855,0.0053496932110210236,0.0,3.9577757745749013e-07,0.9392817320351393,0.002285091515400659
higgs,60,0.5294621414374698,0.5614070818510167,0.5184436104436431,0.01101853099382677,0.031944940413546896,rational_fit,multiphase,-0.060286096492404406,0.002652419467162806,0.0,2.2074079595671972e-07,0.9592496920774232,0.002435432251663359
higgs,90,0.5294621414374698,0.5493708867555003,0.5238994680867167,0.005562673350753111,0.01990874531803044,rational_fit,multiphase,-0.06348163079475358,0.0033639808522514317,0.0,2.7830389939997037e-08,0.9960762149273084,0.0005382220021320379
adult,30,0.2726871089615499,0.3345984649006573,0.23088409077431685,0.04180301818723306,0.061911355939107404,richardson_1,multiphase,-0.16023162402952304,0.0035251458323183834,0.0,7.083023360110625e-07,0.9416338619034896,0.007292809687611778
adult,60,0.2726871089615499,0.29833722526388895,0.21379177909804672,0.05889532986350318,0.025650116302339043,richardson_1,multiphase,-0.17722389819426182,0.001776300605208775,0.0,3.9784496515940126e-07,0.9617542441289046,0.007932727832530437
adult,90,0.2726871089615499,0.28653848221589806,0.26576807007786185,0.006919038883688056,0.013851373254348154,richardson_1,multiphase,-0.13877318368318123,0.0025778159136692885,0.0,2.0922461808575185e-08,0.9862317346353212,0.0015203125909591365
jannis,30,0.6883856218050994,0.8257642832095355,0.6293153732945782,0.05907024851052123,0.1373786614044361,rational_fit,multiphase,-0.0949725776839304,0.0022439327793464,0.0,2.680696580678194e-07,0.9323188891852879,0.0036771710180439317
jannis,60,0.6883856218050994,0.7564017779332346,0.6142087464308736,0.07417687537422579,0.06801615612813516,richardson_1,multiphase,-0.11202003239484039,0.0010862878338214748,0.0,1.9856705685467813e-07,0.9527709736881907,0.004233692489568442
jannis,90,0.6883856218050994,0.7301714976924399,0.6770356301836834,0.011349991621416033,0.04178587588734051,richardson_1,multiphase,-0.10977680175218846,0.0013185796032201239,0.0,2.0823850986081946e-08,0.9911348138209277,0.0010479913234822007
miniboone,30,0.1366957519294463,0.2535416359359045,0.14596090801086703,0.009265156081420728,0.1168458840064582,richardson_1,multiphase,-0.27767640044172337,0.002651459075372521,0.0,4.0888307067986894e-07,0.9134587715598169,0.009446586521023148
miniboone,60,0.1366957519294463,0.19066188866582973,0.11628752880288945,0.02040822312655685,0.053966136736383424,richardson_1,multiphase,-0.34308404303144485,0.001302194210988609,0.0,3.435851291589868e-07,0.9205288393106552,0.011327891257369483
miniboone,90,0.1366957519294463,0.1686142769458724,0.12933571424960377,0.007360037679842529,0.031918525016426086,richardson_1,rational_decay,-0.3807161134946851,0.0016521786245567392,0.0,3.0030140895675975e-08,0.9944769043219095,0.0032970991392864196
bank_marketing,30,0.20016688332270532,0.23901191782599712,0.17541874557163353,0.02474813775107179,0.0388450345032918,richardson_1,multiphase,-0.1289652147375583,0.00909626033133962,0.0,1.782194832877158e-06,0.957489104958209,0.007850528107308685
bank_marketing,60,0.20016688332270532,0.21621938967222706,0.1653589516748531,0.03480793164785223,0.01605250634952174,richardson_1,multiphase,-0.14319562096855193,0.004296665840861149,0.0,9.141390398750333e-07,0.9708855386131113,0.0073229905772261876
bank_marketing,90,0.20016688332270532,0.20824559984590071,0.1966538710621678,0.003513012260537518,0.00807871652319539,richardson_1,multiphase,-0.12828895207374422,0.0046983473162844624,0.0,3.991471944369716e-08,0.980508160807873,0.0014755703186362032
