dataset,obs_depth,method,improvement,perturb_iqr,regime_raw,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv,regime_std,fail
covertype,30,richardson_1,0.6628531171014954,0.005693247112405542,multiphase,-0.17367873104936635,0.004529597182814112,0.0,5.612171382483003e-06,0.9348900104991098,0.007664228744148893,rational_decay,False
covertype,60,richardson_1,0.7683416253374508,0.00019476157151954165,multiphase,-0.21222129937998913,0.002287144713414316,0.0,3.335419439477786e-06,0.9409247956905663,0.00788135431026996,rational_decay,False
covertype,90,richardson_1,0.747886523382669,0.01456481162318285,multiphase,-0.2641038022280401,0.0021744806200564098,0.0,2.546035356095997e-07,0.9976330323248971,0.0019381573949349689,rational_decay,False
higgs,30,rational_fit,0.8000644958152971,0.05366794930327867,multiphase,-0.05148465551525153,0.0047980238556114205,0.0,4.3517802918389954e-07,0.9434720085897196,0.002291687323171963,rational_decay,False
higgs,60,rational_fit,0.6435047103448752,0.0055555380233391904,multiphase,-0.06050333171279014,0.002446073450562711,0.0,2.3435532354193678e-07,0.9610816437997047,0.0024500703464153035,rational_decay,False
higgs,90,rational_fit,0.7597821597302318,0.0008502924496245345,multiphase,-0.06285817305502901,0.002978526109418593,0.0,1.966805403259886e-08,0.9947967694212171,0.0005643015484840259,rational_decay,False
adult,30,richardson_1,0.32032837457638774,0.0016226066899426017,multiphase,-0.1594726989679671,0.0040637372070444315,0.0,1.1015025638163765e-06,0.940798610893774,0.007210159295663678,rational_decay,False
adult,60,richardson_1,-1.3964903618791917,0.00039296530548085795,multiphase,-0.17766053142826718,0.001955904457695719,0.0,5.919849330990672e-07,0.9603546854733411,0.007888885940542238,rational_decay,True
adult,90,richardson_1,0.5608948882711794,0.008713067063242486,multiphase,-0.13757367908908727,0.002282935198135323,0.0,1.6573875892162373e-08,0.9840319184807305,0.001520359645217096,rational_decay,False
jannis,30,rational_fit,0.5745818062317395,0.009168568915774888,multiphase,-0.09430068983480898,0.002199394958884064,0.0,2.802389665831695e-07,0.9326953161491978,0.003696705414839229,rational_decay,False
jannis,60,richardson_1,-0.06218526408960429,0.0015303337344843015,multiphase,-0.11073867044376635,0.0010582110111618743,0.0,2.0369114770947577e-07,0.9537198479147869,0.004219599892355477,rational_decay,True
jannis,90,richardson_1,0.6040510697911639,0.007355290941039372,multiphase,-0.11043938866565244,0.0010921240408300545,0.0,1.732022504692357e-08,0.992750001846835,0.0010055947227107975,rational_decay,False
miniboone,30,richardson_1,0.9281312895561301,0.0005513944879288191,multiphase,-0.2786970414344451,0.0025592562155862795,0.0,4.047823091525447e-07,0.9128127471127452,0.009423445680054605,rational_decay,False
miniboone,60,richardson_1,0.6068748955203893,0.00019128208282596926,multiphase,-0.34313020094282703,0.0012921572626106207,0.0,3.3312314585938346e-07,0.9208863812430362,0.011336829907278863,rational_decay,False
miniboone,90,richardson_1,0.6905508290894379,0.001482430153313924,rational_decay,-0.3826435154939349,0.001486009512661609,0.0,2.2784513572232535e-08,0.9950560354964126,0.003162011474327524,rational_decay,False
bank_marketing,30,richardson_1,0.3672798957985158,0.0005229949981320203,multiphase,-0.12688167819932927,0.009945258848097225,0.0,1.9600648015639793e-06,0.963079710882494,0.007962578915361167,rational_decay,False
bank_marketing,60,richardson_1,-1.1563730137852344,0.0009266725954937549,multiphase,-0.14131196271405919,0.004515610880163956,0.0,9.985516854663308e-07,0.9730381532528352,0.007344746929062776,rational_decay,True
bank_marketing,90,richardson_1,0.12149210610599301,0.005479588535755114,multiphase,-0.12529388388532275,0.005034268631849076,0.0,4.1550708182154414e-08,0.9876656903656561,0.0014370982781900395,rational_decay,False
